   ID       GA1       GA2       GA3
    1    0.0000    0.0000    0.0000
    2    1.0000    0.0000    0.0000
    3    0.6667    0.5000    0.0000
    4    0.6667    0.7500    1.0000
    5    0.7000    0.8500    1.0000
    6    0.7333    0.9000    1.0000
    7    0.7143    0.8571    0.9429
    8    0.7321    0.8839    0.9643
    9    0.7500    0.9048    0.9762
   10    0.7667    0.9208    0.9833
   11    0.7818    0.9333    0.9879
   12    0.7955    0.9432    0.9909
   13    0.8077    0.9510    0.9930
   14    0.7637    0.8544    0.8521
   15    0.7762    0.8769    0.8901
   16    0.7875    0.8946    0.9165
   17    0.7978    0.9088    0.9353
   18    0.8072    0.9203    0.9490
   19    0.8158    0.9298    0.9592
   20    0.8237    0.9377    0.9670
   21    0.8000    0.8955    0.9165
   22    0.8074    0.9065    0.9310
   23    0.8142    0.9159    0.9424
   24    0.8207    0.9239    0.9515
   25    0.8267    0.9309    0.9589
   26    0.8323    0.9369    0.9649
   27    0.8376    0.9422    0.9698
   28    0.8188    0.9098    0.9309
   29    0.8239    0.9171    0.9400
   30    0.8080    0.8914    0.9111
   31    0.7892    0.8567    0.8645
   32    0.7944    0.8673    0.8806
   33    0.7992    0.8768    0.8944
   34    0.7870    0.8584    0.8753
   35    0.7916    0.8678    0.8888
   36    0.7960    0.8763    0.9004
   37    0.7853    0.8602    0.8835
   38    0.7895    0.8685    0.8950
   39    0.7935    0.8762    0.9050
   40    0.7840    0.8619    0.8899
   41    0.7878    0.8695    0.8998
   42    0.7793    0.8572    0.8872
   43    0.7829    0.8645    0.8968
   44    0.7865    0.8712    0.9054
   45    0.7788    0.8600    0.8937
   46    0.7821    0.8666    0.9021
   47    0.7854    0.8727    0.9096
   48    0.7886    0.8784    0.9164
   49    0.7917    0.8837    0.9226
   50    0.7947    0.8887    0.9281
   51    0.7976    0.8934    0.9332
   52    0.7903    0.8819    0.9201
   53    0.7837    0.8719    0.9092
   54    0.7865    0.8769    0.9153
   55    0.7892    0.8816    0.9207
   56    0.7919    0.8861    0.9258
   57    0.7945    0.8903    0.9304
   58    0.7970    0.8943    0.9347
   59    0.7995    0.8980    0.9386
   60    0.8020    0.9016    0.9422
   61    0.8044    0.9050    0.9456
   62    0.7980    0.8947    0.9336
   63    0.8003    0.8982    0.9373
   64    0.8026    0.9015    0.9408
   65    0.8048    0.9047    0.9440
   66    0.8070    0.9077    0.9471
   67    0.8091    0.9106    0.9498
   68    0.8031    0.9008    0.9384
   69    0.8052    0.9038    0.9416
   70    0.8072    0.9067    0.9446
   71    0.8016    0.8976    0.9342
   72    0.7964    0.8894    0.9251
   73    0.7915    0.8820    0.9171
   74    0.7934    0.8854    0.9211
   75    0.7953    0.8885    0.9249
   76    0.7972    0.8916    0.9284
   77    0.7925    0.8845    0.9207
   78    0.7882    0.8781    0.9139
   79    0.7900    0.8813    0.9178
   80    0.7918    0.8843    0.9214
   81    0.7935    0.8872    0.9248
   82    0.7952    0.8901    0.9281
   83    0.7969    0.8928    0.9311
   84    0.7986    0.8954    0.9340
   85    0.7944    0.8889    0.9268
   86    0.7960    0.8915    0.9298
   87    0.7976    0.8941    0.9326
   88    0.7936    0.8879    0.9259
   89    0.7870    0.8748    0.9067
   90    0.7809    0.8631    0.8901
