   ID      true         1         2
    1    1.0000    1.1830    1.1219
    2    1.0000    1.1085    1.0292
    3    1.0000    0.7606    0.5704
    4    1.0000    0.6266    0.8397
    5    1.0000    0.6550    0.9854
    6    1.0000    0.5116    0.6807
    7    1.0000    1.1090    1.0538
    8    1.0000    0.8623    1.0124
    9    1.0000    0.8722    1.0764
   10    1.0000    0.9265    0.8245
   11    1.0000    0.5613    0.7610
   12    1.0000    0.7633    0.5301
   13    1.0000    0.9848    0.4102
   14    1.0000    1.4033    1.1898
   15    1.0000    0.6519    0.9809
   16    1.0000    0.3861    1.1015
   17    1.0000    0.7774    1.1098
   18    1.0000    0.6208    0.5782
   19    1.0000    0.6843    1.0224
   20    1.0000    0.8976    1.1028
   21    1.0000    1.1253    0.8231
   22    1.0000    0.5837    0.8892
   23    1.0000    0.5651    0.7385
   24    1.0000    0.9300    0.7096
   25    1.0000    0.9808    0.7568
   26    1.0000    0.6855    0.7617
   27    1.0000    0.8535    1.1590
   28    1.0000    1.1715    1.2897
   29    1.0000    0.8461    1.0401
   30    1.0000    1.3248    1.1905
   31    1.0000    1.6053    1.2294
   32    1.0000    0.6083    0.9277
   33    1.0000    0.9935    1.0072
   34    1.0000    1.2067    0.9952
   35    1.0000    0.8241    1.0700
   36    1.0000    0.8150    0.9367
   37    1.0000    1.1541    1.0183
   38    1.0000    0.9850    1.0028
   39    1.0000    0.5833    0.8551
   40    1.0000    1.1479    0.7549
   41    1.0000    0.8467    0.6953
   42    1.0000    1.1902    0.7988
   43    1.0000    0.7521    1.0238
   44    1.0000    0.8272    1.0173
   45    1.0000    1.2522    0.8321
   46    1.0000    0.8566    1.0226
   47    1.0000    0.9470    1.0528
   48    1.0000    0.5801    0.6284
   49    1.0000    0.7512    0.5479
   50    1.0000    0.7885    0.7359
   51    1.0000    0.2470    0.6555
   52    1.0000    1.3715    0.8981
   53    1.0000    1.2363    0.9584
   54    1.0000    0.8844    0.8441
   55    1.0000    0.7030    0.9143
   56    1.0000    0.9866    0.8728
   57    1.0000    0.5687    0.6610
   58    1.0000    0.5365    0.7476
   59    1.0000    0.7830    0.9732
   60    1.0000    0.6919    0.7399
   61    1.0000    0.7645    0.7723
   62    1.0000    1.1292    1.0585
   63    1.0000    0.8871    0.7992
   64    1.0000    0.6627    0.8233
   65    1.0000    0.9918    1.1078
   66    1.0000    0.6394    0.9222
   67    1.0000    0.9615    0.8632
   68    1.0000    1.1913    1.4108
   69    1.0000    0.8230    0.9447
   70    1.0000    0.9176    1.0522
   71    1.0000    1.3561    1.1246
   72    1.0000    1.3316    1.2761
   73    1.0000    1.3103    1.0581
   74    1.0000    0.9693    0.7543
   75    1.0000    0.7290    0.9988
   76    1.0000    0.9579    1.3050
   77    1.0000    1.1089    0.9854
   78    1.0000    1.3153    1.1411
   79    1.0000    0.5723    0.6126
   80    1.0000    0.8422    0.9851
   81    1.0000    0.5500    0.8087
   82    1.0000    0.6737    0.5308
   83    1.0000    0.7779    0.8776
   84    1.0000    0.5225    0.7976
   85    1.0000    1.3107    1.0708
   86    1.0000    0.6056    0.5095
   87    1.0000    0.5125    0.7212
   88    1.0000    1.2363    0.9897
   89    1.0000    0.0473    0.6408
   90    1.0000    1.6693    1.2271
   91    1.0000    0.6563    0.6523
   92    1.0000    1.2067    0.7095
   93    1.0000    0.7010    0.9645
   94    1.0000    1.0134    1.0855
   95    1.0000    0.5201    0.5792
   96    1.0000    0.3954    0.7071
   97    1.0000    1.0404    1.3793
   98    1.0000    0.8453    0.9793
   99    1.0000    1.9285    1.3668
  100    1.0000    0.7900    0.7885
  101    1.0000    1.3942    1.1590
  102    1.0000    0.6375    0.9056
  103    1.0000    0.9771    1.3875
  104    1.0000    0.8319    0.7869
  105    1.0000    1.0489    0.8122
  106    1.0000    1.0358    0.8057
  107    1.0000    1.3329    0.9262
  108    1.0000    0.7309    0.7934
  109    1.0000    0.6146    0.7272
  110    1.0000    1.1390    0.7295
  111    1.0000    0.9601    0.9712
  112    1.0000    1.3823    1.2977
  113    1.0000    0.4042    0.9680
  114    1.0000    1.0734    1.0845
  115    1.0000    1.4265    1.2284
  116    1.0000    1.0032    0.9809
  117    1.0000    0.5806    0.8143
  118    1.0000    1.3352    1.2638
  119    1.0000    1.2111    1.3377
  120    1.0000    0.5988    0.7651
  121    1.0000    1.5885    1.3228
  122    1.0000    0.8235    0.6825
  123    1.0000    1.6108    1.0087
  124    1.0000    0.7295    0.9884
  125    1.0000    1.9285    1.4330
  126    1.0000    0.8029    1.1297
  127    1.0000    1.1078    0.8479
  128    1.0000    1.3051    1.3424
  129    1.0000    0.6264    0.9147
  130    1.0000    1.0790    0.9021
  131    1.0000    1.0606    1.0336
  132    1.0000    1.1527    1.0847
  133    1.0000    0.8789    0.7914
  134    1.0000    0.7170    0.9491
  135    1.0000    1.4538    1.3426
  136    1.0000    1.1963    1.1208
  137    1.0000    0.7124    1.3194
  138    1.0000    0.4295    0.5363
  139    1.0000    0.8272    0.9241
  140    1.0000    0.8059    0.7678
  141    1.0000    1.2952    0.7142
  142    1.0000    0.7315    0.9659
  143    1.0000    1.1042    1.1134
  144    1.0000    1.3505    0.8487
  145    1.0000   -0.0676    0.4694
  146    1.0000    0.9078    0.6545
  147    1.0000    0.8530    0.7740
  148    1.0000    0.4804    0.7081
  149    1.0000    0.9476    0.7782
  150    1.0000    0.7944    0.7844
  151    1.0000    0.6994    0.6371
  152    1.0000    0.7879    1.0143
  153    1.0000    1.0233    0.9007
  154    1.0000    0.3564    0.6059
  155    1.0000    1.0269    1.0535
  156    1.0000    0.6959    1.0777
  157    1.0000    1.3942    0.8446
  158    1.0000    1.1479    1.0431
  159    1.0000    0.8161    0.9327
  160    1.0000    1.2081    1.1991
  161    1.0000    0.6225    0.6876
  162    1.0000    1.3826    1.0640
  163    1.0000    0.8262    0.8769
  164    1.0000    0.7270    1.1492
  165    1.0000    1.0141    0.7213
  166    1.0000    0.1938    0.7241
  167    1.0000    1.0737    0.9416
  168    1.0000    0.8769    0.9956
  169    1.0000    0.8449    0.8462
  170    1.0000    0.8181    1.2658
  171    1.0000    0.5899    0.9099
  172    1.0000    1.1790    0.8574
  173    1.0000    0.8205    1.0924
  174    1.0000    0.6772    0.3943
  175    1.0000    1.6108    1.1411
  176    1.0000    0.6736    0.8237
  177    1.0000    1.3153    0.9042
  178    1.0000    1.0937    0.9180
  179    1.0000    1.1455    1.0721
  180    1.0000    1.6270    1.3399
  181    1.0000    0.7193    0.7410
  182    1.0000    0.5119    0.9422
  183    1.0000    0.9322    1.2113
  184    1.0000    0.6895    0.7369
  185    1.0000    1.0667    0.9584
  186    1.0000    1.1342    0.9506
  187    1.0000    0.6568    1.1153
  188    1.0000    0.9808    0.9655
  189    1.0000    1.1140    0.9817
  190    1.0000    1.1558    0.9580
  191    1.0000    0.8314    1.0859
  192    1.0000    0.7567    0.7012
  193    1.0000    0.5825    0.7853
  194    1.0000    0.6816    0.7091
  195    1.0000    1.2952    0.9958
  196    1.0000    0.2667    0.5956
  197    1.0000    1.6053    1.1119
  198    1.0000    0.5105    0.7611
  199    1.0000    1.1275    1.1214
  200    1.0000    0.7590    0.9531
  201    1.0000    0.9261    0.8548
  202    1.0000    1.2296    1.1702
  203    1.0000    1.2581    1.0151
  204    1.0000    0.7116    0.7688
  205    1.0000    0.6445    0.4537
  206    1.0000    1.3357    0.7763
  207    1.0000    1.1558    1.0106
  208    1.0000    0.8705    1.0493
  209    1.0000    0.7107    0.8285
  210    1.0000    0.7976    0.6009
  211    1.0000    1.2978    1.2162
  212    1.0000    0.5684    0.7619
  213    1.0000    0.6367    0.7903
  214    1.0000    1.6053    1.2038
  215    1.0000    0.7962    1.0465
  216    1.0000    0.4196    0.4687
  217    1.0000    0.9774    0.9958
  218    1.0000    1.1036    1.0246
  219    1.0000    0.8791    0.8094
  220    1.0000    0.7013    0.6652
  221    1.0000    1.3324    1.1471
  222    1.0000    0.8147    0.9886
  223    1.0000    0.7916    1.0682
  224    1.0000    0.6401    0.5863
  225    1.0000    1.3469    1.0160
  226    1.0000    1.1312    1.4057
  227    1.0000    1.3715    0.9852
  228    1.0000    0.4005    0.7022
  229    1.0000    1.0956    0.8945
  230    1.0000    0.8760    0.9630
  231    1.0000    0.9981    0.8113
  232    1.0000    0.5144    0.7816
  233    1.0000    1.4099    1.0975
  234    1.0000    0.7238    0.7442
  235    1.0000    0.8127    1.0278
  236    1.0000    0.8759    0.9252
  237    1.0000    1.1084    1.1333
  238    1.0000    0.7889    1.0110
  239    1.0000    0.8592    1.1129
  240    1.0000    0.3582    0.5031
  241    1.0000    0.8393    1.1455
  242    1.0000    1.2658    1.1961
  243    1.0000    0.7501    0.7848
  244    1.0000    0.6196    0.8047
  245    1.0000    0.5198    0.7428
  246    1.0000    0.7383    0.8111
  247    1.0000    0.9393    0.6654
  248    1.0000    1.1162    1.1818
  249    1.0000    0.3949    0.8506
  250    1.0000    0.8023    1.0065
  251    1.0000    0.9470    0.8595
  252    1.0000    1.3956    0.9652
  253    1.0000    0.9283    1.4975
  254    1.0000    1.3469    1.1220
  255    1.0000    0.7072    0.8042
  256    1.0000    0.7114    0.6548
  257    1.0000    0.4248    0.8699
  258    1.0000    0.9385    0.8840
  259    1.0000    1.0091    0.9901
  260    1.0000    1.0886    0.8949
  261    1.0000    0.9824    0.7988
  262    1.0000    0.8944    1.3167
  263    1.0000    0.5530    0.8957
  264    1.0000    1.6693    1.2277
  265    1.0000    0.9522    0.9210
  266    1.0000    0.6899    0.8839
  267    1.0000    1.6103    0.9722
  268    1.0000    0.9496    0.5870
  269    1.0000    0.9212    1.2654
  270    1.0000    0.6256    1.0642
  271    1.0000    0.9058    0.9996
  272    1.0000    1.0822    0.8703
  273    1.0000    0.8007    0.7715
  274    1.0000    0.5990    1.0081
  275    1.0000    1.6693    1.1725
  276    1.0000    0.5375    0.3854
  277    1.0000    1.5822    0.9464
  278    1.0000    1.2572    0.8878
  279    1.0000    0.7980    0.7989
  280    1.0000    0.6288    0.6885
  281    1.0000    0.8852    0.8644
  282    1.0000    0.9618    1.2978
  283    1.0000    0.9308    0.8264
  284    1.0000    1.1043    1.0608
  285    1.0000    1.9285    1.3632
  286    1.0000    1.6053    1.0796
  287    1.0000    0.7555    0.8186
  288    1.0000    0.9117    1.2248
  289    1.0000    0.9630    0.7680
  290    1.0000    0.6292    1.0992
  291    1.0000    0.4520    0.7759
  292    1.0000    0.3913    0.9651
  293    1.0000    1.3942    1.1118
  294    1.0000    0.1734    0.4082
  295    1.0000    0.3344    0.7585
  296    1.0000    0.9179    1.0719
  297    1.0000    1.3097    1.0010
  298    1.0000    0.7739    0.7518
  299    1.0000    1.3237    1.0660
  300    1.0000    0.8423    1.0319
  301    1.0000    0.7964    1.0341
  302    1.0000    0.7676    0.9969
  303    1.0000    0.5801    0.5342
  304    1.0000    0.7746    0.7361
  305    1.0000    1.1540    0.9673
  306    1.0000    0.6909    0.9140
  307    1.0000    1.1929    0.9398
  308    1.0000    0.8789    0.8735
  309    1.0000    0.3044    0.6549
  310    1.0000    0.5918    0.7980
  311    1.0000    0.6455    0.8426
  312    1.0000    1.5456    1.4148
  313    1.0000    1.4183    1.0737
  314    1.0000    1.5822    1.0828
  315    1.0000    0.9623    1.0223
  316    1.0000    0.5595    0.6204
  317    1.0000    0.4219    0.9300
  318    1.0000    0.8443    0.9157
  319    1.0000    0.6016    0.5106
  320    1.0000    1.0587    0.7992
  321    1.0000    0.8753    0.9481
  322    1.0000    1.2978    1.0163
  323    1.0000    0.6570    0.7126
  324    1.0000    0.9290    0.6391
  325    1.0000    1.1966    1.1002
  326    1.0000    0.8095    1.1879
  327    1.0000    1.6270    1.0312
  328    1.0000    1.0809    1.0801
  329    1.0000    0.8566    0.7460
  330    1.0000    1.2712    1.0942
  331    1.0000    0.5833    0.7617
  332    1.0000    0.6618    0.9502
  333    1.0000    0.7353    0.9689
  334    1.0000    0.8070    0.7493
  335    1.0000    0.9410    0.9631
  336    1.0000    0.6619    1.0563
  337    1.0000    0.8259    1.0354
  338    1.0000    0.7712    0.9698
  339    1.0000    0.6506    0.7900
  340    1.0000    0.8186    0.9016
  341    1.0000    0.9623    0.8502
  342    1.0000    0.3705    0.4732
  343    1.0000    0.6058    0.6671
  344    1.0000    0.9293    0.9232
  345    1.0000    1.6693    0.9242
  346    1.0000    1.0190    1.2230
  347    1.0000    1.2856    0.9932
  348    1.0000    0.7162    1.0468
  349    1.0000    0.8292    1.2363
  350    1.0000    0.9751    1.2327
  351    1.0000    0.5661    0.5521
  352    1.0000    0.5807    0.9061
  353    1.0000    0.5721    0.8960
  354    1.0000    0.5746    1.0038
  355    1.0000    0.6710    0.7108
  356    1.0000    0.8451    0.9804
  357    1.0000    1.2749    1.3573
  358    1.0000    0.7461    0.8489
  359    1.0000    0.7226    0.6930
  360    1.0000    1.0010    1.2734
  361    1.0000    0.9071    0.9790
  362    1.0000    0.8614    1.1930
  363    1.0000    0.9268    0.9453
  364    1.0000    0.5416    0.9327
  365    1.0000    1.3445    1.1136
  366    1.0000    1.2094    1.4978
  367    1.0000    1.4187    0.9058
  368    1.0000    0.2807    0.6134
  369    1.0000    0.6673    1.0009
  370    1.0000    0.7074    1.0074
  371    1.0000    0.7450    0.7277
  372    1.0000    0.8456    1.0188
  373    1.0000    1.0233    0.8406
  374    1.0000    1.1421    0.9450
  375    1.0000    0.0736    0.3703
  376    1.0000    1.2731    1.3024
  377    1.0000    1.4389    1.2778
  378    1.0000    1.3612    1.1946
  379    1.0000    1.9285    1.4569
  380    1.0000    0.9444    0.8708
  381    1.0000    1.5456    1.1742
  382    1.0000    0.9851    1.3500
  383    1.0000    0.8561    0.8939
  384    1.0000    1.3612    1.2173
  385    1.0000    0.4215    0.7025
  386    1.0000    1.1966    1.0777
  387    1.0000    0.7704    0.9623
  388    1.0000    0.7148    0.8099
  389    1.0000    0.8598    0.9253
  390    1.0000    1.1435    1.0066
  391    1.0000    1.0856    1.1404
  392    1.0000    0.7331    0.8398
  393    1.0000    1.5644    0.9950
