   ID       GA1       GA2       GA3
    1    0.0000    0.0000    0.0000
    2    0.6750    0.0000    0.0000
    3    0.6500    0.8000    0.0000
    4    0.7333    0.9437    1.0000
    5    0.7625    0.9425    0.9800
    6    0.7567    0.8887    0.8967
    7    0.7274    0.8371    0.8500
    8    0.7482    0.8754    0.9111
    9    0.7604    0.8899    0.9290
   10    0.7422    0.8560    0.8886
   11    0.7545    0.8764    0.9166
   12    0.7625    0.8874    0.9311
   13    0.7561    0.8740    0.9153
   14    0.7629    0.8829    0.9258
   15    0.7707    0.8916    0.9336
   16    0.7727    0.8921    0.9342
   17    0.7722    0.8893    0.9314
   18    0.7660    0.8781    0.9178
   19    0.7602    0.8691    0.9087
   20    0.7657    0.8780    0.9203
   21    0.7552    0.8622    0.9025
   22    0.7565    0.8658    0.9091
   23    0.7579    0.8690    0.9143
   24    0.7434    0.8471    0.8870
   25    0.7486    0.8572    0.9004
   26    0.7515    0.8631    0.9085
   27    0.7558    0.8699    0.9158
   28    0.7493    0.8603    0.9042
   29    0.7511    0.8641    0.9098
   30    0.7522    0.8666    0.9134
   31    0.7503    0.8640    0.9107
   32    0.7534    0.8690    0.9162
   33    0.7509    0.8656    0.9124
   34    0.7549    0.8720    0.9198
   35    0.7574    0.8752    0.9223
   36    0.7606    0.8795    0.9266
   37    0.7636    0.8833    0.9302
   38    0.7604    0.8776    0.9228
   39    0.7642    0.8831    0.9289
   40    0.7649    0.8836    0.9292
   41    0.7675    0.8870    0.9328
   42    0.7704    0.8904    0.9359
   43    0.7682    0.8860    0.9300
   44    0.7625    0.8774    0.9198
   45    0.7629    0.8777    0.9204
   46    0.7603    0.8737    0.9158
   47    0.7629    0.8775    0.9202
   48    0.7609    0.8747    0.9175
   49    0.7635    0.8786    0.9217
   50    0.7660    0.8820    0.9254
   51    0.7646    0.8790    0.9211
   52    0.7671    0.8826    0.9253
   53    0.7694    0.8858    0.9287
   54    0.7680    0.8832    0.9256
   55    0.7696    0.8850    0.9271
   56    0.7717    0.8877    0.9299
   57    0.7737    0.8902    0.9325
   58    0.7736    0.8896    0.9319
   59    0.7739    0.8897    0.9318
   60    0.7755    0.8916    0.9339
   61    0.7774    0.8939    0.9361
   62    0.7739    0.8872    0.9271
   63    0.7703    0.8814    0.9204
   64    0.7720    0.8839    0.9233
   65    0.7734    0.8858    0.9255
   66    0.7753    0.8884    0.9285
   67    0.7762    0.8892    0.9291
   68    0.7779    0.8913    0.9313
   69    0.7795    0.8933    0.9335
   70    0.7809    0.8950    0.9354
   71    0.7826    0.8971    0.9375
   72    0.7840    0.8986    0.9389
   73    0.7838    0.8977    0.9378
   74    0.7854    0.8997    0.9398
   75    0.7860    0.9001    0.9402
   76    0.7848    0.8977    0.9374
   77    0.7862    0.8995    0.9392
   78    0.7875    0.9009    0.9408
   79    0.7888    0.9024    0.9422
   80    0.7900    0.9037    0.9435
   81    0.7892    0.9019    0.9412
   82    0.7877    0.8993    0.9381
   83    0.7890    0.9009    0.9398
   84    0.7843    0.8933    0.9305
   85    0.7847    0.8936    0.9307
   86    0.7840    0.8923    0.9293
   87    0.7854    0.8942    0.9314
   88    0.7867    0.8958    0.9332
   89    0.7852    0.8933    0.9304
   90    0.7866    0.8951    0.9324
   91    0.7853    0.8931    0.9302
   92    0.7867    0.8949    0.9322
   93    0.7881    0.8969    0.9344
   94    0.7878    0.8961    0.9334
   95    0.7872    0.8948    0.9319
   96    0.7883    0.8963    0.9336
   97    0.7882    0.8960    0.9333
   98    0.7894    0.8975    0.9350
   99    0.7868    0.8926    0.9284
  100    0.7846    0.8892    0.9244
  101    0.7802    0.8825    0.9164
  102    0.7814    0.8843    0.9186
  103    0.7808    0.8835    0.9180
  104    0.7818    0.8850    0.9199
  105    0.7820    0.8850    0.9196
  106    0.7815    0.8843    0.9192
  107    0.7826    0.8859    0.9212
  108    0.7833    0.8870    0.9227
  109    0.7843    0.8885    0.9244
  110    0.7851    0.8898    0.9260
  111    0.7863    0.8915    0.9280
  112    0.7874    0.8930    0.9298
  113    0.7886    0.8947    0.9317
  114    0.7896    0.8960    0.9332
  115    0.7883    0.8939    0.9305
  116    0.7853    0.8892    0.9250
  117    0.7861    0.8902    0.9260
  118    0.7856    0.8895    0.9253
  119    0.7857    0.8896    0.9255
  120    0.7864    0.8906    0.9268
  121    0.7871    0.8915    0.9277
  122    0.7871    0.8915    0.9278
  123    0.7878    0.8922    0.9285
  124    0.7854    0.8886    0.9242
  125    0.7862    0.8896    0.9255
  126    0.7870    0.8908    0.9269
  127    0.7865    0.8900    0.9260
  128    0.7873    0.8912    0.9274
  129    0.7881    0.8923    0.9287
  130    0.7880    0.8920    0.9284
  131    0.7888    0.8930    0.9296
  132    0.7882    0.8921    0.9284
  133    0.7882    0.8920    0.9284
  134    0.7891    0.8932    0.9297
  135    0.7898    0.8943    0.9310
  136    0.7893    0.8934    0.9300
  137    0.7890    0.8926    0.9290
  138    0.7898    0.8937    0.9302
  139    0.7906    0.8948    0.9315
  140    0.7894    0.8927    0.9286
  141    0.7892    0.8922    0.9282
  142    0.7892    0.8922    0.9282
  143    0.7900    0.8933    0.9294
  144    0.7909    0.8945    0.9308
  145    0.7908    0.8943    0.9306
  146    0.7914    0.8951    0.9315
  147    0.7922    0.8962    0.9326
  148    0.7930    0.8972    0.9338
  149    0.7938    0.8982    0.9349
  150    0.7940    0.8984    0.9351
  151    0.7947    0.8994    0.9363
  152    0.7954    0.9003    0.9372
  153    0.7954    0.9001    0.9369
  154    0.7958    0.9005    0.9373
  155    0.7965    0.9014    0.9383
  156    0.7972    0.9023    0.9393
  157    0.7979    0.9032    0.9402
  158    0.7982    0.9034    0.9405
  159    0.7988    0.9042    0.9412
  160    0.7988    0.9039    0.9407
  161    0.7993    0.9045    0.9413
  162    0.7974    0.9013    0.9374
  163    0.7969    0.9004    0.9363
  164    0.7963    0.8995    0.9352
  165    0.7967    0.8998    0.9357
  166    0.7957    0.8982    0.9337
  167    0.7958    0.8983    0.9337
  168    0.7964    0.8991    0.9347
  169    0.7940    0.8954    0.9301
  170    0.7944    0.8958    0.9307
  171    0.7947    0.8963    0.9313
  172    0.7954    0.8973    0.9325
  173    0.7947    0.8962    0.9311
  174    0.7953    0.8969    0.9320
  175    0.7953    0.8968    0.9317
  176    0.7959    0.8977    0.9328
  177    0.7958    0.8975    0.9326
  178    0.7958    0.8973    0.9325
  179    0.7964    0.8982    0.9334
  180    0.7969    0.8987    0.9339
  181    0.7971    0.8989    0.9342
  182    0.7972    0.8990    0.9343
  183    0.7978    0.8997    0.9350
  184    0.7973    0.8988    0.9339
  185    0.7977    0.8993    0.9345
  186    0.7969    0.8981    0.9331
  187    0.7976    0.8990    0.9341
  188    0.7982    0.8998    0.9351
  189    0.7987    0.9005    0.9358
  190    0.7983    0.8997    0.9349
  191    0.7973    0.8982    0.9331
  192    0.7973    0.8980    0.9328
  193    0.7977    0.8985    0.9334
  194    0.7982    0.8992    0.9342
  195    0.7982    0.8992    0.9342
  196    0.7988    0.8999    0.9350
  197    0.7970    0.8970    0.9315
  198    0.7975    0.8978    0.9324
  199    0.7977    0.8981    0.9328
  200    0.7983    0.8989    0.9337
  201    0.7986    0.8992    0.9339
  202    0.7966    0.8961    0.9302
  203    0.7971    0.8968    0.9310
  204    0.7976    0.8976    0.9319
  205    0.7980    0.8981    0.9325
  206    0.7982    0.8983    0.9327
  207    0.7984    0.8984    0.9328
  208    0.7989    0.8992    0.9337
  209    0.7994    0.8998    0.9343
  210    0.7998    0.9003    0.9350
  211    0.8000    0.9006    0.9353
  212    0.7987    0.8984    0.9324
  213    0.7993    0.8991    0.9332
  214    0.7995    0.8993    0.9335
  215    0.7995    0.8994    0.9336
  216    0.7985    0.8978    0.9316
  217    0.7990    0.8984    0.9323
  218    0.7987    0.8978    0.9317
  219    0.7991    0.8984    0.9324
  220    0.7996    0.8991    0.9332
  221    0.7999    0.8994    0.9336
  222    0.8002    0.8999    0.9342
  223    0.8007    0.9005    0.9349
  224    0.7995    0.8988    0.9329
  225    0.8000    0.8994    0.9336
  226    0.7999    0.8992    0.9334
  227    0.8004    0.8999    0.9342
  228    0.8009    0.9005    0.9349
  229    0.8013    0.9012    0.9356
  230    0.8011    0.9008    0.9351
  231    0.8016    0.9015    0.9359
  232    0.8010    0.9005    0.9347
  233    0.8015    0.9011    0.9354
  234    0.8018    0.9014    0.9357
  235    0.8020    0.9017    0.9361
  236    0.8023    0.9020    0.9364
  237    0.8027    0.9025    0.9370
  238    0.8019    0.9013    0.9354
  239    0.8021    0.9013    0.9353
  240    0.8023    0.9016    0.9357
  241    0.8025    0.9019    0.9360
  242    0.8030    0.9024    0.9367
  243    0.8034    0.9030    0.9373
  244    0.8037    0.9033    0.9375
  245    0.8038    0.9033    0.9375
  246    0.8041    0.9037    0.9380
  247    0.8039    0.9034    0.9376
  248    0.8044    0.9040    0.9382
  249    0.8041    0.9035    0.9377
  250    0.8038    0.9029    0.9370
  251    0.8030    0.9016    0.9354
  252    0.8034    0.9022    0.9360
  253    0.8038    0.9027    0.9367
  254    0.8039    0.9028    0.9367
  255    0.8043    0.9032    0.9372
  256    0.8043    0.9032    0.9372
  257    0.8037    0.9023    0.9362
  258    0.8032    0.9014    0.9351
  259    0.8035    0.9018    0.9356
  260    0.8038    0.9022    0.9361
  261    0.8034    0.9016    0.9353
  262    0.8034    0.9015    0.9353
  263    0.8038    0.9019    0.9358
  264    0.8033    0.9012    0.9350
  265    0.8037    0.9017    0.9355
  266    0.8035    0.9013    0.9350
  267    0.8031    0.9007    0.9343
  268    0.8034    0.9011    0.9348
  269    0.8032    0.9007    0.9344
  270    0.8035    0.9010    0.9347
  271    0.8034    0.9008    0.9345
  272    0.8038    0.9014    0.9351
  273    0.8037    0.9012    0.9349
  274    0.8040    0.9016    0.9353
  275    0.8044    0.9022    0.9360
  276    0.8048    0.9027    0.9366
  277    0.8050    0.9028    0.9367
  278    0.8053    0.9033    0.9372
  279    0.8050    0.9027    0.9365
  280    0.8052    0.9029    0.9368
  281    0.8051    0.9027    0.9365
  282    0.8051    0.9027    0.9365
  283    0.8053    0.9030    0.9368
  284    0.8053    0.9028    0.9366
  285    0.8056    0.9032    0.9371
  286    0.8058    0.9035    0.9375
  287    0.8052    0.9025    0.9362
  288    0.8051    0.9022    0.9359
  289    0.8054    0.9027    0.9364
  290    0.8058    0.9032    0.9370
  291    0.8056    0.9029    0.9367
  292    0.8058    0.9031    0.9369
  293    0.8058    0.9031    0.9370
  294    0.8062    0.9036    0.9375
  295    0.8064    0.9039    0.9378
  296    0.8061    0.9033    0.9372
  297    0.8065    0.9039    0.9378
  298    0.8064    0.9036    0.9375
  299    0.8062    0.9033    0.9371
  300    0.8066    0.9038    0.9377
  301    0.8068    0.9042    0.9381
  302    0.8071    0.9046    0.9386
  303    0.8074    0.9050    0.9391
