      freq      item     PAmax numSumPK1    PAmean     PAvar    PoolUR   OverLap
         1        49   1.00000       300   0.13333   0.05107   0.53667   0.51632
         2        54   0.86780       201   0.13333   0.02414   0.77000   0.31433
         3        59   0.68930       135   0.13333   0.01670   0.90000   0.25854
         4       164   0.66150        99   0.13333   0.01114   0.95667   0.21680
         5       196   0.71500        63   0.13333   0.00738   0.99000   0.18859
         6       222   0.66310        40   0.13333   0.00674   0.99667   0.18379
         7       220   0.73480        40   0.13333   0.00861   1.00000   0.19783
         8       213   0.81290        40   0.13333   0.01243   1.00000   0.22647
         9       231   0.76760        40   0.13333   0.01272   1.00000   0.22866
        10       213   0.81090        40   0.13333   0.01315   1.00000   0.23191
        11       231   0.76890        40   0.13333   0.01297   1.00000   0.23055
        12       231   0.77100        40   0.13333   0.01293   1.00000   0.23024
        13       213   0.80810        40   0.13333   0.01306   1.00000   0.23120
        14       231   0.77470        40   0.13333   0.01297   1.00000   0.23057
        15       213   0.81570        40   0.13333   0.01325   1.00000   0.23265
        16       231   0.77630        40   0.13333   0.01315   1.00000   0.23188
        17       231   0.77490        40   0.13333   0.01295   1.00000   0.23035
                                   =========================
        17       231   0.76810        40   0.13333   0.01300   1.00000   0.23072
