   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.10451   0.19814   0.28166   0.10498   0.19859   0.28208
Max = 
   0.10547   0.20000   0.28347   0.12500   0.21162   0.30000
Min = 
   0.00667   0.00167   0.00000   0.00000   0.00000   0.00000
SD = 
   0.00386   0.00667   0.00908   0.01288   0.02378   0.03301
Last = 
   0.10546   0.19956   0.28343   0.11201   0.21149   0.29983

data = 
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.05000   0.00000   0.00000   0.05000   0.00000   0.00000
   0.10000   0.20000   0.00000   0.12500   0.20000   0.00000
   0.05000   0.05000   0.00000   0.00000   0.00000   0.00000
   0.03000   0.02000   0.00000   0.00000   0.00000   0.00000
   0.02000   0.01000   0.00000   0.00000   0.00000   0.00000
   0.01429   0.00571   0.00000   0.00000   0.00000   0.00000
   0.01071   0.00357   0.00000   0.00000   0.00000   0.00000
   0.00833   0.00238   0.00000   0.00000   0.00000   0.00000
   0.00667   0.00167   0.00000   0.00000   0.00000   0.00000
   0.02364   0.05576   0.10909   0.10000   0.20000   0.30000
   0.03485   0.08727   0.16364   0.09091   0.18182   0.27273
   0.04231   0.10559   0.19021   0.08333   0.16667   0.25000
   0.04725   0.11593   0.20180   0.07692   0.15385   0.23077
   0.05048   0.12132   0.20513   0.07143   0.14286   0.21429
   0.05250   0.12357   0.20385   0.06667   0.13333   0.20000
   0.05074   0.11500   0.18235   0.03750   0.07500   0.11250
   0.05098   0.11348   0.17712   0.05294   0.10588   0.15882
   0.04825   0.10346   0.15562   0.02500   0.05000   0.07500
   0.05395   0.11864   0.18415   0.10526   0.20468   0.29825
   0.05833   0.12951   0.20321   0.10000   0.19474   0.28421
   0.06169   0.13718   0.21561   0.09524   0.18571   0.27143
   0.06304   0.13905   0.21685   0.07727   0.15152   0.22273
   0.06504   0.14291   0.22221   0.08696   0.16996   0.24901
   0.06533   0.14198   0.21853   0.06875   0.13514   0.19918
   0.06646   0.14367   0.22029   0.08000   0.15667   0.23000
   0.06610   0.14116   0.21412   0.06154   0.12108   0.17862
   0.06614   0.14008   0.21112   0.06667   0.13105   0.19316
   0.06897   0.14693   0.22310   0.10714   0.20635   0.29792
   0.06713   0.14030   0.20903   0.04138   0.08054   0.11757
   0.06925   0.14541   0.21813   0.10000   0.19310   0.27956
   0.07097   0.14931   0.22476   0.09677   0.18710   0.27119
   0.07235   0.15224   0.22943   0.09375   0.18145   0.26331
   0.07344   0.15434   0.23254   0.09091   0.17614   0.25587
   0.07429   0.15578   0.23440   0.08824   0.17112   0.24883
   0.07476   0.15622   0.23442   0.08286   0.16101   0.23459
   0.07402   0.15328   0.22818   0.06111   0.12000   0.17669
   0.07582   0.15754   0.23551   0.10811   0.20721   0.29781
   0.07733   0.16096   0.24117   0.10526   0.20199   0.29066
   0.07859   0.16366   0.24544   0.10256   0.19703   0.28384
   0.07963   0.16576   0.24855   0.10000   0.19231   0.27733
   0.08049   0.16733   0.25070   0.09756   0.18780   0.27111
   0.08084   0.16754   0.25033   0.08810   0.17027   0.24679
   0.08140   0.16835   0.25116   0.09302   0.17940   0.25946
   0.08091   0.16626   0.24659   0.07045   0.13700   0.19978
   0.08005   0.16317   0.24022   0.06111   0.11884   0.17332
   0.08127   0.16601   0.24512   0.10870   0.20773   0.29776
   0.08227   0.16823   0.24881   0.10532   0.20157   0.28936
   0.08316   0.17014   0.25188   0.10417   0.19947   0.28648
   0.08392   0.17167   0.25422   0.10204   0.19558   0.28116
   0.08451   0.17275   0.25574   0.09900   0.19000   0.27349
   0.08503   0.17364   0.25691   0.09804   0.18824   0.27107
   0.08545   0.17427   0.25762   0.09615   0.18477   0.26629
