delta change = 
         1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36        37        38        39        40
      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
      0.70      1.40      1.10      0.80      0.50      0.20     -0.10      0.60      0.30      0.00      0.70      0.40      0.10     -0.20      0.50      0.20     -0.10      0.60      0.30      0.00      0.70      0.40      0.10     -0.20      0.50      0.20     -0.10      0.60      0.30      0.00      0.70      0.40      0.10     -0.20      0.50      0.20     -0.10      0.60      0.30      0.00
      1.40      2.80      3.20      3.60      4.00      4.40      4.80      5.20      5.60      6.00      6.40      6.80      7.20      7.60      8.00      8.40      8.80      9.20      9.60     10.00     10.40     10.80     11.20     11.60     12.00     12.40     12.80     13.20     13.60     14.00     14.40     14.80     15.20     15.60     16.00     16.40     16.80     17.20     17.60     18.00
      2.10      4.20      5.30      6.40      7.50      8.60      9.70     10.80     11.90     13.00     14.10     15.20     16.30     17.40     18.50     19.60     20.70     21.80     22.90     24.00     25.10     26.20     27.30     28.40     29.50     30.60     31.70     32.80     33.90     35.00     36.10     37.20     38.30     39.40     40.50     41.60     42.70     43.80     44.90     46.00
      2.80      5.60      7.40      9.20     11.00     12.80     14.60     16.40     18.20     20.00     21.80     23.60     25.40     27.20     29.00     30.80     32.60     34.40     36.20     38.00     39.80     41.60     43.40     45.20     47.00     48.80     50.60     52.40     54.20     56.00     57.80     59.60     61.40     63.20     65.00     66.80     68.60     70.40     72.20     74.00
      3.50      7.00      9.50     12.00     14.50     17.00     19.50     22.00     24.50     27.00     29.50     32.00     34.50     37.00     39.50     42.00     44.50     47.00     49.50     52.00     54.50     57.00     59.50     62.00     64.50     67.00     69.50     72.00     74.50     77.00     79.50     82.00     84.50     87.00     89.50     92.00     94.50     97.00     99.50    102.00
      4.20      8.40     11.60     14.80     18.00     21.20     24.40     27.60     30.80     34.00     37.20     40.40     43.60     46.80     50.00     53.20     56.40     59.60     62.80     66.00     69.20     72.40     75.60     78.80     82.00     85.20     88.40     91.60     94.80     98.00    101.20    104.40    107.60    110.80    114.00    117.20    120.40    123.60    126.80    130.00
      4.90      9.80     13.70     17.60     21.50     25.40     29.30     33.20     37.10     41.00     44.90     48.80     52.70     56.60     60.50     64.40     68.30     72.20     76.10     80.00     83.90     87.80     91.70     95.60     99.50    103.40    107.30    111.20    115.10    119.00    122.90    126.80    130.70    134.60    138.50    142.40    146.30    150.20    154.10    158.00
      5.60     11.20     15.80     20.40     25.00     29.60     34.20     38.80     43.40     48.00     52.60     57.20     61.80     66.40     71.00     75.60     80.20     84.80     89.40     94.00     98.60    103.20    107.80    112.40    117.00    121.60    126.20    130.80    135.40    140.00    144.60    149.20    153.80    158.40    163.00    167.60    172.20    176.80    181.40    186.00
      6.30     12.60     17.90     23.20     28.50     33.80     39.10     44.40     49.70     55.00     60.30     65.60     70.90     76.20     81.50     86.80     92.10     97.40    102.70    108.00    113.30    118.60    123.90    129.20    134.50    139.80    145.10    150.40    155.70    161.00    166.30    171.60    176.90    182.20    187.50    192.80    198.10    203.40    208.70    214.00
      7.00     14.00     20.00     26.00     32.00     38.00     44.00     50.00     56.00     62.00     68.00     74.00     80.00     86.00     92.00     98.00    104.00    110.00    116.00    122.00    128.00    134.00    140.00    146.00    152.00    158.00    164.00    170.00    176.00    182.00    188.00    194.00    200.00    206.00    212.00    218.00    224.00    230.00    236.00    242.00
      7.70     15.40     22.10     28.80     35.50     42.20     48.90     55.60     62.30     69.00     75.70     82.40     89.10     95.80    102.50    109.20    115.90    122.60    129.30    136.00    142.70    149.40    156.10    162.80    169.50    176.20    182.90    189.60    196.30    203.00    209.70    216.40    223.10    229.80    236.50    243.20    249.90    256.60    263.30    270.00
      8.40     16.80     24.20     31.60     39.00     46.40     53.80     61.20     68.60     76.00     83.40     90.80     98.20    105.60    113.00    120.40    127.80    135.20    142.60    150.00    157.40    164.80    172.20    179.60    187.00    194.40    201.80    209.20    216.60    224.00    231.40    238.80    246.20    253.60    261.00    268.40    275.80    283.20    290.60    298.00
      9.10     18.20     26.30     34.40     42.50     50.60     58.70     66.80     74.90     83.00     91.10     99.20    107.30    115.40    123.50    131.60    139.70    147.80    155.90    164.00    172.10    180.20    188.30    196.40    204.50    212.60    220.70    228.80    236.90    245.00    253.10    261.20    269.30    277.40    285.50    293.60    301.70    309.80    317.90    326.00
      9.80     19.60     28.40     37.20     46.00     54.80     63.60     72.40     81.20     90.00     98.80    107.60    116.40    125.20    134.00    142.80    151.60    160.40    169.20    178.00    186.80    195.60    204.40    213.20    222.00    230.80    239.60    248.40    257.20    266.00    274.80    283.60    292.40    301.20    310.00    318.80    327.60    336.40    345.20    354.00
     10.50     21.00     30.50     40.00     49.50     59.00     68.50     78.00     87.50     97.00    106.50    116.00    125.50    135.00    144.50    154.00    163.50    173.00    182.50    192.00    201.50    211.00    220.50    230.00    239.50    249.00    258.50    268.00    277.50    287.00    296.50    306.00    315.50    325.00    334.50    344.00    353.50    363.00    372.50    382.00
     11.20     22.40     32.60     42.80     53.00     63.20     73.40     83.60     93.80    104.00    114.20    124.40    134.60    144.80    155.00    165.20    175.40    185.60    195.80    206.00    216.20    226.40    236.60    246.80    257.00    267.20    277.40    287.60    297.80    308.00    318.20    328.40    338.60    348.80    359.00    369.20    379.40    389.60    399.80    410.00
     11.90     23.80     34.70     45.60     56.50     67.40     78.30     89.20    100.10    111.00    121.90    132.80    143.70    154.60    165.50    176.40    187.30    198.20    209.10    220.00    230.90    241.80    252.70    263.60    274.50    285.40    296.30    307.20    318.10    329.00    339.90    350.80    361.70    372.60    383.50    394.40    405.30    416.20    427.10    438.00
     12.60     25.20     36.80     48.40     60.00     71.60     83.20     94.80    106.40    118.00    129.60    141.20    152.80    164.40    176.00    187.60    199.20    210.80    222.40    234.00    245.60    257.20    268.80    280.40    292.00    303.60    315.20    326.80    338.40    350.00    361.60    373.20    384.80    396.40    408.00    419.60    431.20    442.80    454.40    466.00
     13.30     26.60     38.90     51.20     63.50     75.80     88.10    100.40    112.70    125.00    137.30    149.60    161.90    174.20    186.50    198.80    211.10    223.40    235.70    248.00    260.30    272.60    284.90    297.20    309.50    321.80    334.10    346.40    358.70    371.00    383.30    395.60    407.90    420.20    432.50    444.80    457.10    469.40    481.70    494.00
     14.00     28.00     41.00     54.00     67.00     80.00     93.00    106.00    119.00    132.00    145.00    158.00    171.00    184.00    197.00    210.00    223.00    236.00    249.00    262.00    275.00    288.00    301.00    314.00    327.00    340.00    353.00    366.00    379.00    392.00    405.00    418.00    431.00    444.00    457.00    470.00    483.00    496.00    509.00    522.00
     14.70     29.40     43.10     56.80     70.50     84.20     97.90    111.60    125.30    139.00    152.70    166.40    180.10    193.80    207.50    221.20    234.90    248.60    262.30    276.00    289.70    303.40    317.10    330.80    344.50    358.20    371.90    385.60    399.30    413.00    426.70    440.40    454.10    467.80    481.50    495.20    508.90    522.60    536.30    550.00
     15.40     30.80     45.20     59.60     74.00     88.40    102.80    117.20    131.60    146.00    160.40    174.80    189.20    203.60    218.00    232.40    246.80    261.20    275.60    290.00    304.40    318.80    333.20    347.60    362.00    376.40    390.80    405.20    419.60    434.00    448.40    462.80    477.20    491.60    506.00    520.40    534.80    549.20    563.60    578.00
     16.10     32.20     47.30     62.40     77.50     92.60    107.70    122.80    137.90    153.00    168.10    183.20    198.30    213.40    228.50    243.60    258.70    273.80    288.90    304.00    319.10    334.20    349.30    364.40    379.50    394.60    409.70    424.80    439.90    455.00    470.10    485.20    500.30    515.40    530.50    545.60    560.70    575.80    590.90    606.00
     16.80     33.60     49.40     65.20     81.00     96.80    112.60    128.40    144.20    160.00    175.80    191.60    207.40    223.20    239.00    254.80    270.60    286.40    302.20    318.00    333.80    349.60    365.40    381.20    397.00    412.80    428.60    444.40    460.20    476.00    491.80    507.60    523.40    539.20    555.00    570.80    586.60    602.40    618.20    634.00
     17.50     35.00     51.50     68.00     84.50    101.00    117.50    134.00    150.50    167.00    183.50    200.00    216.50    233.00    249.50    266.00    282.50    299.00    315.50    332.00    348.50    365.00    381.50    398.00    414.50    431.00    447.50    464.00    480.50    497.00    513.50    530.00    546.50    563.00    579.50    596.00    612.50    629.00    645.50    662.00
     18.20     36.40     53.60     70.80     88.00    105.20    122.40    139.60    156.80    174.00    191.20    208.40    225.60    242.80    260.00    277.20    294.40    311.60    328.80    346.00    363.20    380.40    397.60    414.80    432.00    449.20    466.40    483.60    500.80    518.00    535.20    552.40    569.60    586.80    604.00    621.20    638.40    655.60    672.80    690.00
     18.90     37.80     55.70     73.60     91.50    109.40    127.30    145.20    163.10    181.00    198.90    216.80    234.70    252.60    270.50    288.40    306.30    324.20    342.10    360.00    377.90    395.80    413.70    431.60    449.50    467.40    485.30    503.20    521.10    539.00    556.90    574.80    592.70    610.60    628.50    646.40    664.30    682.20    700.10    718.00
     19.60     39.20     57.80     76.40     95.00    113.60    132.20    150.80    169.40    188.00    206.60    225.20    243.80    262.40    281.00    299.60    318.20    336.80    355.40    374.00    392.60    411.20    429.80    448.40    467.00    485.60    504.20    522.80    541.40    560.00    578.60    597.20    615.80    634.40    653.00    671.60    690.20    708.80    727.40    746.00
     20.30     40.60     59.90     79.20     98.50    117.80    137.10    156.40    175.70    195.00    214.30    233.60    252.90    272.20    291.50    310.80    330.10    349.40    368.70    388.00    407.30    426.60    445.90    465.20    484.50    503.80    523.10    542.40    561.70    581.00    600.30    619.60    638.90    658.20    677.50    696.80    716.10    735.40    754.70    774.00
     21.00     42.00     62.00     82.00    102.00    122.00    142.00    162.00    182.00    202.00    222.00    242.00    262.00    282.00    302.00    322.00    342.00    362.00    382.00    402.00    422.00    442.00    462.00    482.00    502.00    522.00    542.00    562.00    582.00    602.00    622.00    642.00    662.00    682.00    702.00    722.00    742.00    762.00    782.00    802.00
     21.70     43.40     64.10     84.80    105.50    126.20    146.90    167.60    188.30    209.00    229.70    250.40    271.10    291.80    312.50    333.20    353.90    374.60    395.30    416.00    436.70    457.40    478.10    498.80    519.50    540.20    560.90    581.60    602.30    623.00    643.70    664.40    685.10    705.80    726.50    747.20    767.90    788.60    809.30    830.00
     22.40     44.80     66.20     87.60    109.00    130.40    151.80    173.20    194.60    216.00    237.40    258.80    280.20    301.60    323.00    344.40    365.80    387.20    408.60    430.00    451.40    472.80    494.20    515.60    537.00    558.40    579.80    601.20    622.60    644.00    665.40    686.80    708.20    729.60    751.00    772.40    793.80    815.20    836.60    858.00
     23.10     46.20     68.30     90.40    112.50    134.60    156.70    178.80    200.90    223.00    245.10    267.20    289.30    311.40    333.50    355.60    377.70    399.80    421.90    444.00    466.10    488.20    510.30    532.40    554.50    576.60    598.70    620.80    642.90    665.00    687.10    709.20    731.30    753.40    775.50    797.60    819.70    841.80    863.90    886.00
     23.80     47.60     70.40     93.20    116.00    138.80    161.60    184.40    207.20    230.00    252.80    275.60    298.40    321.20    344.00    366.80    389.60    412.40    435.20    458.00    480.80    503.60    526.40    549.20    572.00    594.80    617.60    640.40    663.20    686.00    708.80    731.60    754.40    777.20    800.00    822.80    845.60    868.40    891.20    914.00
     24.50     49.00     72.50     96.00    119.50    143.00    166.50    190.00    213.50    237.00    260.50    284.00    307.50    331.00    354.50    378.00    401.50    425.00    448.50    472.00    495.50    519.00    542.50    566.00    589.50    613.00    636.50    660.00    683.50    707.00    730.50    754.00    777.50    801.00    824.50    848.00    871.50    895.00    918.50    942.00
     25.20     50.40     74.60     98.80    123.00    147.20    171.40    195.60    219.80    244.00    268.20    292.40    316.60    340.80    365.00    389.20    413.40    437.60    461.80    486.00    510.20    534.40    558.60    582.80    607.00    631.20    655.40    679.60    703.80    728.00    752.20    776.40    800.60    824.80    849.00    873.20    897.40    921.60    945.80    970.00
     25.90     51.80     76.70    101.60    126.50    151.40    176.30    201.20    226.10    251.00    275.90    300.80    325.70    350.60    375.50    400.40    425.30    450.20    475.10    500.00    524.90    549.80    574.70    599.60    624.50    649.40    674.30    699.20    724.10    749.00    773.90    798.80    823.70    848.60    873.50    898.40    923.30    948.20    973.10    998.00
     26.60     53.20     78.80    104.40    130.00    155.60    181.20    206.80    232.40    258.00    283.60    309.20    334.80    360.40    386.00    411.60    437.20    462.80    488.40    514.00    539.60    565.20    590.80    616.40    642.00    667.60    693.20    718.80    744.40    770.00    795.60    821.20    846.80    872.40    898.00    923.60    949.20    974.80   1000.40   1026.00
     27.30     54.60     80.90    107.20    133.50    159.80    186.10    212.40    238.70    265.00    291.30    317.60    343.90    370.20    396.50    422.80    449.10    475.40    501.70    528.00    554.30    580.60    606.90    633.20    659.50    685.80    712.10    738.40    764.70    791.00    817.30    843.60    869.90    896.20    922.50    948.80    975.10   1001.40   1027.70   1054.00
     28.00     56.00     83.00    110.00    137.00    164.00    191.00    218.00    245.00    272.00    299.00    326.00    353.00    380.00    407.00    434.00    461.00    488.00    515.00    542.00    569.00    596.00    623.00    650.00    677.00    704.00    731.00    758.00    785.00    812.00    839.00    866.00    893.00    920.00    947.00    974.00   1001.00   1028.00   1055.00   1082.00
     28.70     57.40     85.10    112.80    140.50    168.20    195.90    223.60    251.30    279.00    306.70    334.40    362.10    389.80    417.50    445.20    472.90    500.60    528.30    556.00    583.70    611.40    639.10    666.80    694.50    722.20    749.90    777.60    805.30    833.00    860.70    888.40    916.10    943.80    971.50    999.20   1026.90   1054.60   1082.30   1110.00
     29.40     58.80     87.20    115.60    144.00    172.40    200.80    229.20    257.60    286.00    314.40    342.80    371.20    399.60    428.00    456.40    484.80    513.20    541.60    570.00    598.40    626.80    655.20    683.60    712.00    740.40    768.80    797.20    825.60    854.00    882.40    910.80    939.20    967.60    996.00   1024.40   1052.80   1081.20   1109.60   1138.00
     30.10     60.20     89.30    118.40    147.50    176.60    205.70    234.80    263.90    293.00    322.10    351.20    380.30    409.40    438.50    467.60    496.70    525.80    554.90    584.00    613.10    642.20    671.30    700.40    729.50    758.60    787.70    816.80    845.90    875.00    904.10    933.20    962.30    991.40   1020.50   1049.60   1078.70   1107.80   1136.90   1166.00
     30.80     61.60     91.40    121.20    151.00    180.80    210.60    240.40    270.20    300.00    329.80    359.60    389.40    419.20    449.00    478.80    508.60    538.40    568.20    598.00    627.80    657.60    687.40    717.20    747.00    776.80    806.60    836.40    866.20    896.00    925.80    955.60    985.40   1015.20   1045.00   1074.80   1104.60   1134.40   1164.20   1194.00
     31.50     63.00     93.50    124.00    154.50    185.00    215.50    246.00    276.50    307.00    337.50    368.00    398.50    429.00    459.50    490.00    520.50    551.00    581.50    612.00    642.50    673.00    703.50    734.00    764.50    795.00    825.50    856.00    886.50    917.00    947.50    978.00   1008.50   1039.00   1069.50   1100.00   1130.50   1161.00   1191.50   1222.00
     32.20     64.40     95.60    126.80    158.00    189.20    220.40    251.60    282.80    314.00    345.20    376.40    407.60    438.80    470.00    501.20    532.40    563.60    594.80    626.00    657.20    688.40    719.60    750.80    782.00    813.20    844.40    875.60    906.80    938.00    969.20   1000.40   1031.60   1062.80   1094.00   1125.20   1156.40   1187.60   1218.80   1250.00
     32.90     65.80     97.70    129.60    161.50    193.40    225.30    257.20    289.10    321.00    352.90    384.80    416.70    448.60    480.50    512.40    544.30    576.20    608.10    640.00    671.90    703.80    735.70    767.60    799.50    831.40    863.30    895.20    927.10    959.00    990.90   1022.80   1054.70   1086.60   1118.50   1150.40   1182.30   1214.20   1246.10   1278.00
     33.60     67.20     99.80    132.40    165.00    197.60    230.20    262.80    295.40    328.00    360.60    393.20    425.80    458.40    491.00    523.60    556.20    588.80    621.40    654.00    686.60    719.20    751.80    784.40    817.00    849.60    882.20    914.80    947.40    980.00   1012.60   1045.20   1077.80   1110.40   1143.00   1175.60   1208.20   1240.80   1273.40   1306.00
     34.30     68.60    101.90    135.20    168.50    201.80    235.10    268.40    301.70    335.00    368.30    401.60    434.90    468.20    501.50    534.80    568.10    601.40    634.70    668.00    701.30    734.60    767.90    801.20    834.50    867.80    901.10    934.40    967.70   1001.00   1034.30   1067.60   1100.90   1134.20   1167.50   1200.80   1234.10   1267.40   1300.70   1334.00
