thetaHat = 
         1         2         3         4
   -0.6874   -1.0961   -0.7293   -0.6207
    1.3128    1.8997    2.3195    2.4760
   -1.2869   -1.9516   -2.0598   -2.1316
   -0.1256   -0.2544   -0.0236    0.0526
    0.8172    0.9446    0.7171    0.7183
    0.8372    0.9365    0.7526    0.9394
    0.0650    0.1650    0.1021    0.0592
   -1.0042   -1.3752   -1.5135   -1.6799
   -0.0174   -0.4675   -0.3165   -0.4135
    0.8372    0.1465   -0.2064   -0.2517
   -0.7677   -0.8897   -0.7522   -0.5573
    0.4130    0.2523    0.1320    0.1618
   -0.3979    0.0296    0.3244    0.2390
   -0.5625   -1.0001   -1.2129   -1.1477
    1.3128    1.4153    1.3753    1.2825
    1.3128    1.4671    1.6928    1.5869
   -1.8253   -2.2101   -2.3262   -2.3334
    0.7484    0.4210    0.4611    0.3109
    0.7290    0.4523    0.3213    0.5383
    0.4209   -0.0905    0.0450   -0.1147
    1.3128    1.6185    1.7849    1.4041
   -1.4889   -1.2849   -1.2017   -1.0999
   -0.8416   -1.2742   -1.7986   -1.7423
    0.4128    0.2451    0.1492   -0.0553
   -0.5625   -0.9850   -1.4668   -0.9937
    0.8372    0.5541    0.5659    0.5141
    0.5107    0.0568    0.1196    0.0875
   -0.0346   -0.1130   -0.0657    0.0762
   -0.8056   -0.6818   -1.0515   -1.1252
    0.8172    1.6934    1.8528    2.0259
   -0.0062   -0.0825   -0.3799   -0.5670
   -1.2612   -1.0091   -0.5701   -0.5327
   -0.8928   -0.8429   -1.0086   -0.7765
    0.8581    0.4583    0.3716    0.1479
   -0.2696   -0.1206    0.1748    0.1944
    0.3903    0.1675    0.2409    0.3421
    1.3128    2.1087    2.2720    2.4386
    0.1151    0.3524    0.3624    0.5656
   -0.8464   -0.9398   -0.7324   -0.7416
    0.6771    0.5961    0.7362    0.8058
    0.3524    0.6432    0.3495    0.3927
    0.8172    0.5969    0.5162    0.3649
   -0.4828   -0.3849   -0.5436   -0.4517
    0.6771    0.7460    0.4239    0.6847
    0.4269    0.8450    0.4947    0.3560
   -0.8409   -1.2759   -1.6286   -1.4921
    0.6771    0.4010    0.3644    0.4811
   -0.0178   -0.0599   -0.1363   -0.0251
