a b c content serial module panel stage
2 0.36385 -3.33036 0.1767 1 2 1 1 1
69 1.23326 -0.10127 0.10312 2 69 1 1 1
110 1.32618 0.31777 0.08593 2 110 1 1 1
121 1.41811 0.06245 0.14843 1 121 1 1 1
123 1.12392 0.08478 0.09302 1 123 1 1 1
158 1.20666 -0.03132 0.16188 3 158 1 1 1
271 2.05814 1.99655 0.18825 2 271 1 1 1
284 1.80468 2.01305 0.18574 1 284 1 1 1
290 1.62764 2.26527 0.08149 2 290 1 1 1
300 1.23619 2.08179 0.11321 3 300 1 1 1
89 1.21852 0.10318 0.05654 2 89 2 1 1
103 0.93621 -0.05029 0.14846 1 103 2 1 1
1211 1.41811 0.06245 0.14843 1 121 2 1 1
124 1.04105 0.08671 0.16097 1 124 2 1 1
162 1.15175 0.4965 0.09064 1 162 2 1 1
178 1.51543 0.12667 0.18331 3 178 2 1 1
2711 2.05814 1.99655 0.18825 2 271 2 1 1
272 1.608 2.01146 0.09196 2 272 2 1 1
2901 1.62764 2.26527 0.08149 2 290 2 1 1
3001 1.23619 2.08179 0.11321 3 300 2 1 1
21 0.5117 -1.81496 0.16376 1 21 3 1 1
54 1.30463 -0.16596 0.15073 2 54 3 1 1
891 1.21852 0.10318 0.05654 2 89 3 1 1
91 1.19155 0.11524 0.25589 2 91 3 1 1
114 1.07636 0.37194 0.02523 2 114 3 1 1
1581 1.20666 -0.03132 0.16188 3 158 3 1 1
225 0.7784 1.15269 0.25227 1 225 3 1 1
265 1.16434 1.54005 0.23937 1 265 3 1 1
282 0.90689 1.9717 0.08154 1 282 3 1 1
297 1.08885 1.89334 0.18232 3 297 3 1 1
4 0.46429 -2.74341 0.20093 1 4 4 1 1
152 1.31899 0.70483 0.11459 2 152 4 1 1
154 1.73185 0.73005 0.14341 2 154 4 1 1
1621 1.15175 0.4965 0.09064 1 162 4 1 1
217 1.56915 0.48487 0.2063 3 217 4 1 1
255 1.00627 1.81689 0.18622 2 255 4 1 1
283 1.14926 1.99497 0.11357 1 283 4 1 1
287 1.59193 2.30401 0.10469 1 287 4 1 1
291 0.93878 2.26758 0.25055 2 291 4 1 1
2971 1.08885 1.89334 0.18232 3 297 4 1 1
25 0.34901 -1.56045 0.20501 1 25 5 1 1
129 1.38875 0.47849 0.11522 2 129 5 1 1
130 1.46518 0.49739 0.16306 2 130 5 1 1
1521 1.31899 0.70483 0.11459 2 152 5 1 1
2171 1.56915 0.48487 0.2063 3 217 5 1 1
221 0.74217 1.03455 0.48883 1 221 5 1 1
275 0.96093 2.13658 0.17003 2 275 5 1 1
2841 1.80468 2.01305 0.18574 1 284 5 1 1
2871 1.59193 2.30401 0.10469 1 287 5 1 1
298 1.14405 1.98778 0.25225 3 298 5 1 1
5 0.35074 -2.66541 0.2052 1 5 6 1 1
8 0.59362 -2.06476 0.16105 1 8 6 1 1
1301 1.46518 0.49739 0.16306 2 130 6 1 1
147 1.27402 0.34729 0.10004 1 147 6 1 1
2172 1.56915 0.48487 0.2063 3 217 6 1 1
238 1.05853 0.71218 0.21766 3 238 6 1 1
256 1.93513 1.83794 0.18836 2 256 6 1 1
270 1.38278 1.96672 0.2976 2 270 6 1 1
273 1.5695 2.02583 0.15193 2 273 6 1 1
2872 1.59193 2.30401 0.10469 1 287 6 1 1
41 0.46429 -2.74341 0.20093 1 4 7 1 1
16 1.05559 -0.90949 0.5 2 16 7 1 1
251 0.34901 -1.56045 0.20501 1 25 7 1 1
26 0.51357 -1.48062 0.17331 1 26 7 1 1
34 1.49252 -0.52602 0.19399 2 34 7 1 1
52 1.07235 -0.18562 0.08196 2 52 7 1 1
65 1.07983 -0.46626 0.17154 1 65 7 1 1
78 1.08948 -0.71943 0.17009 3 78 7 1 1
117 1.35127 -0.47087 0.09622 3 117 7 1 1
276 0.71858 2.15778 0.1412 2 276 7 1 1
6 0.37622 -2.50664 0.2354 1 6 8 1 1
81 0.59362 -2.06476 0.16105 1 8 8 1 1
49 1.09781 -0.25021 0.052 2 49 8 1 1
521 1.07235 -0.18562 0.08196 2 52 8 1 1
541 1.30463 -0.16596 0.15073 2 54 8 1 1
781 1.08948 -0.71943 0.17009 3 78 8 1 1
85 1.091 -0.19352 0.17694 1 85 8 1 1
120 0.97426 -0.40939 0.05283 3 120 8 1 1
222 1.22973 1.05722 0.26348 1 222 8 1 1
2761 0.71858 2.15778 0.1412 2 276 8 1 1
64 1.02068 -0.49628 0.25138 1 64 9 1 1
651 1.07983 -0.46626 0.17154 1 65 9 1 1
691 1.23326 -0.10127 0.10312 2 69 9 1 1
851 1.091 -0.19352 0.17694 1 85 9 1 1
97 1.04963 -0.60418 0.09479 3 97 9 1 1
100 1.05442 -0.50597 0.08432 3 100 9 1 1
1031 0.93621 -0.05029 0.14846 1 103 9 1 1
174 1.54012 0.88356 0.2663 2 174 9 1 1
250 1.10122 1.56418 0.09575 2 250 9 1 1
254 0.88245 1.75496 0.1944 2 254 9 1 1
42 0.46429 -2.74341 0.20093 1 4 10 1 1
7 0.28227 -2.26857 0.26074 1 7 10 1 1
9 0.55474 -1.44975 0.34075 2 9 10 1 1
19 1.01096 -1.42941 0.18369 3 19 10 1 1
1541 1.73185 0.73005 0.14341 2 154 10 1 1
201 1.3784 0.8036 0.19098 1 201 10 1 1
239 1.66544 0.7285 0.0981 3 239 10 1 1
281 0.97787 1.79151 0.22901 1 281 10 1 1
293 1.20642 2.37519 0.14645 2 293 10 1 1
295 0.6464 2.66381 0.39275 2 295 10 1 1
22 0.36385 -3.33036 0.1767 1 2 11 1 1
3 0.36893 -2.93842 0.18308 1 3 11 1 1
71 0.28227 -2.26857 0.26074 1 7 11 1 1
17 0.51477 -1.84796 0.13564 3 17 11 1 1
1542 1.73185 0.73005 0.14341 2 154 11 1 1
173 1.4342 0.84885 0.11995 2 173 11 1 1
2011 1.3784 0.8036 0.19098 1 201 11 1 1
257 1.22339 1.02213 0.10194 3 257 11 1 1
2712 2.05814 1.99655 0.18825 2 271 11 1 1
294 0.37037 2.56859 0.14548 2 294 11 1 1
72 0.28227 -2.26857 0.26074 1 7 12 1 1
92 0.55474 -1.44975 0.34075 2 9 12 1 1
171 0.51477 -1.84796 0.13564 3 17 12 1 1
18 0.83657 -1.45579 0.1715 3 18 12 1 1
1731 1.4342 0.84885 0.11995 2 173 12 1 1
1741 1.54012 0.88356 0.2663 2 174 12 1 1
2012 1.3784 0.8036 0.19098 1 201 12 1 1
245 1.30404 1.37048 0.07061 1 245 12 1 1
2651 1.16434 1.54005 0.23937 1 265 12 1 1
2951 0.6464 2.66381 0.39275 2 295 12 1 1
1101 1.32618 0.31777 0.08593 2 110 13 1 1
1212 1.41811 0.06245 0.14843 1 121 13 1 1
1231 1.12392 0.08478 0.09302 1 123 13 1 1
145 1.47703 0.32935 0.12674 1 145 13 1 1
1471 1.27402 0.34729 0.10004 1 147 13 1 1
213 1.02427 1.33306 0.23151 2 213 13 1 1
230 1.3552 1.38621 0.26964 2 230 13 1 1
2551 1.00627 1.81689 0.18622 2 255 13 1 1
278 1.24214 1.79488 0.20648 3 278 13 1 1
280 0.7599 1.82824 0.09075 3 280 13 1 1
82 0.59362 -2.06476 0.16105 1 8 14 1 1
33 1.15438 -0.67169 0.34593 2 33 14 1 1
542 1.30463 -0.16596 0.15073 2 54 14 1 1
892 1.21852 0.10318 0.05654 2 89 14 1 1
1451 1.47703 0.32935 0.12674 1 145 14 1 1
1781 1.51543 0.12667 0.18331 3 178 14 1 1
234 1.2538 1.51119 0.24526 2 234 14 1 1
285 0.88323 2.23953 0.07006 1 285 14 1 1
286 0.70531 2.2619 0.15478 1 286 14 1 1
299 0.78131 2.07047 0.09394 3 299 14 1 1
692 1.23326 -0.10127 0.10312 2 69 15 1 1
76 1.10579 0.07243 0.16636 2 76 15 1 1
911 1.19155 0.11524 0.25589 2 91 15 1 1
1232 1.12392 0.08478 0.09302 1 123 15 1 1
1472 1.27402 0.34729 0.10004 1 147 15 1 1
1782 1.51543 0.12667 0.18331 3 178 15 1 1
2652 1.16434 1.54005 0.23937 1 265 15 1 1
2751 0.96093 2.13658 0.17003 2 275 15 1 1
279 0.86838 1.79655 0.1688 3 279 15 1 1
2811 0.97787 1.79151 0.22901 1 281 15 1 1
161 1.05559 -0.90949 0.5 2 16 16 1 1
30 0.94372 -0.77609 0.35953 2 30 16 1 1
341 1.49252 -0.52602 0.19399 2 34 16 1 1
40 0.95676 -1.20698 0.11154 3 40 16 1 1
421 0.87388 -0.99558 0.22001 1 42 16 1 1
45 0.83992 -0.74371 0.11924 1 45 16 1 1
491 1.09781 -0.25021 0.052 2 49 16 1 1
63 0.90327 -0.54208 0.14408 1 63 16 1 1
66 0.96256 -0.44516 0.12454 1 66 16 1 1
782 1.08948 -0.71943 0.17009 3 78 16 1 1
163 1.05559 -0.90949 0.5 2 16 17 1 1
301 0.94372 -0.77609 0.35953 2 30 17 1 1
331 1.15438 -0.67169 0.34593 2 33 17 1 1
401 0.95676 -1.20698 0.11154 3 40 17 1 1
422 0.87388 -0.99558 0.22001 1 42 17 1 1
43 0.94676 -0.93393 0.06713 1 43 17 1 1
451 0.83992 -0.74371 0.11924 1 45 17 1 1
522 1.07235 -0.18562 0.08196 2 52 17 1 1
652 1.07983 -0.46626 0.17154 1 65 17 1 1
971 1.04963 -0.60418 0.09479 3 97 17 1 1
27 0.73863 -1.25067 0.10454 1 27 18 1 1
302 0.94372 -0.77609 0.35953 2 30 18 1 1
332 1.15438 -0.67169 0.34593 2 33 18 1 1
342 1.49252 -0.52602 0.19399 2 34 18 1 1
402 0.95676 -1.20698 0.11154 3 40 18 1 1
53 0.73571 -0.17581 0.06579 2 53 18 1 1
62 0.73199 -0.59644 0.11454 1 62 18 1 1
631 0.90327 -0.54208 0.14408 1 63 18 1 1
661 0.96256 -0.44516 0.12454 1 66 18 1 1
1171 1.35127 -0.47087 0.09622 3 117 18 1 1
1 0.28212 -3.4292 0.188 1 1 19 1 1
31 0.36893 -2.93842 0.18308 1 3 19 1 1
93 0.55474 -1.44975 0.34075 2 9 19 1 1
181 0.83657 -1.45579 0.1715 3 18 19 1 1
223 0.48935 -1.78184 0.18681 1 22 19 1 1
261 0.51357 -1.48062 0.17331 1 26 19 1 1
214 1.4777 1.34767 0.09881 2 214 19 1 1
253 2.19054 1.70257 0.21894 2 253 19 1 1
2721 1.608 2.01146 0.09196 2 272 19 1 1
2801 0.7599 1.82824 0.09075 3 280 19 1 1
11 0.28212 -3.4292 0.188 1 1 20 1 1
10 0.50991 -1.44914 0.14694 2 10 20 1 1
211 0.5117 -1.81496 0.16376 1 21 20 1 1
224 0.48935 -1.78184 0.18681 1 22 20 1 1
2451 1.30404 1.37048 0.07061 1 245 20 1 1
2531 2.19054 1.70257 0.21894 2 253 20 1 1
2731 1.5695 2.02583 0.15193 2 273 20 1 1
2952 0.6464 2.66381 0.39275 2 295 20 1 1
2981 1.14405 1.98778 0.25225 3 298 20 1 1
3002 1.23619 2.08179 0.11321 3 300 20 1 1
12 0.28212 -3.4292 0.188 1 1 21 1 1
32 0.36893 -2.93842 0.18308 1 3 21 1 1
172 0.51477 -1.84796 0.13564 3 17 21 1 1
182 0.83657 -1.45579 0.1715 3 18 21 1 1
212 0.5117 -1.81496 0.16376 1 21 21 1 1
2141 1.4777 1.34767 0.09881 2 214 21 1 1
