a b c content serial module panel stage
5 0.35074 -2.66541 0.2052 1 5 1 1 1
24 1.01832 -1.70256 0.32517 1 24 1 1 1
54 1.30463 -0.16596 0.15073 2 54 1 1 1
78 1.08948 -0.71943 0.17009 3 78 1 1 1
89 1.21852 0.10318 0.05654 2 89 1 1 1
40 0.95676 -1.20698 0.11154 3 40 2 1 1
69 1.23326 -0.10127 0.10312 2 69 2 1 1
81 0.81498 -0.31511 0.15461 1 81 2 1 1
145 1.47703 0.32935 0.12674 1 145 2 1 1
230 1.3552 1.38621 0.26964 2 230 2 1 1
53 0.73571 -0.17581 0.06579 2 53 3 1 1
114 1.07636 0.37194 0.02523 2 114 3 1 1
147 1.27402 0.34729 0.10004 1 147 3 1 1
197 1.25325 0.23521 0.21215 3 197 3 1 1
267 1.07821 1.68906 0.23733 1 267 3 1 1
4 0.46429 -2.74341 0.20093 1 4 4 1 1
7 0.28227 -2.26857 0.26074 1 7 4 1 1
19 1.01096 -1.42941 0.18369 3 19 4 1 1
150 1.269 0.6906 0.09007 2 150 4 1 1
154 1.73185 0.73005 0.14341 2 154 4 1 1
1 0.28212 -3.4292 0.188 1 1 5 1 1
110 1.32618 0.31777 0.08593 2 110 5 1 1
121 1.41811 0.06245 0.14843 1 121 5 1 1
200 1.08426 0.40513 0.12455 3 200 5 1 1
252 1.25602 1.68444 0.15788 2 252 5 1 1
32 1.17266 -0.76548 0.16692 2 32 6 1 1
33 1.15438 -0.67169 0.34593 2 33 6 1 1
37 1.18722 -1.31787 0.13321 3 37 6 1 1
63 0.90327 -0.54208 0.14408 1 63 6 1 1
65 1.07983 -0.46626 0.17154 1 65 6 1 1
3 0.36893 -2.93842 0.18308 1 3 7 1 1
17 0.51477 -1.84796 0.13564 3 17 7 1 1
152 1.31899 0.70483 0.11459 2 152 7 1 1
174 1.54012 0.88356 0.2663 2 174 7 1 1
207 0.968 0.93463 0.29013 1 207 7 1 1
51 0.93593 -0.20202 0.17977 2 51 8 1 1
52 1.07235 -0.18562 0.08196 2 52 8 1 1
123 1.12392 0.08478 0.09302 1 123 8 1 1
162 1.15175 0.4965 0.09064 1 162 8 1 1
278 1.24214 1.79488 0.20648 3 278 8 1 1
29 1.21828 -0.8066 0.21113 2 29 9 1 1
45 0.83992 -0.74371 0.11924 1 45 9 1 1
49 1.09781 -0.25021 0.052 2 49 9 1 1
66 0.96256 -0.44516 0.12454 1 66 9 1 1
117 1.35127 -0.47087 0.09622 3 117 9 1 1
2 0.36385 -3.33036 0.1767 1 2 10 1 1
173 1.4342 0.84885 0.11995 2 173 10 1 1
201 1.3784 0.8036 0.19098 1 201 10 1 1
293 1.20642 2.37519 0.14645 2 293 10 1 1
297 1.08885 1.89334 0.18232 3 297 10 1 1
92 1.17228 0.13248 0.18882 2 92 11 1 1
129 1.38875 0.47849 0.11522 2 129 11 1 1
178 1.51543 0.12667 0.18331 3 178 11 1 1
268 1.34917 1.6974 0.13229 1 268 11 1 1
283 1.14926 1.99497 0.11357 1 283 11 1 1
12 0.83806 -1.22873 0.13238 2 12 12 1 1
20 1.1064 -1.3969 0.19598 3 20 12 1 1
34 1.49252 -0.52602 0.19399 2 34 12 1 1
42 0.87388 -0.99558 0.22001 1 42 12 1 1
43 0.94676 -0.93393 0.06713 1 43 12 1 1
