type = 
         1         2         3
mean = 
   10.7075   17.2395   12.0530
max = 
        18        28        21
min = 
         6         6         5

content sum = 
        11        13        16
         9        23         8
        14        12        14
         8        23         9
         9        22         9
        10        24         6
        10        20        10
        12         8        20
        11        13        16
        11        12        17
        12        11        17
         9        21        10
        10        20        10
        14        15        11
         8        26         6
        10        24         6
        12         8        20
         9        20        11
         9        21        10
        12        17        11
         8        27         5
        11        10        19
        10        11        19
        10        20        10
        10        11        19
         9        21        10
        11        13        16
         9        21        10
        13        11        16
        10        24         6
        12        12        16
        12        11        17
        13        15        12
        10        17        13
        11        17        12
        11        21         8
         9        24         7
        10        21         9
        12        10        18
         9        25         6
         9        21        10
        11        17        12
        12        15        13
         9        25         6
         9        21        10
        11        11        18
         8        23         9
        10        18        12
        12        12        16
        13        14        13
        12         8        20
         9        21        10
         9        21        10
        14        15        11
        11        16        13
        12        21         7
        12        21         7
         9        21        10
         9        23         8
        12         8        20
        12        12        16
         7        28         5
         9        18        13
        18         8        14
        13         8        19
        13        15        12
         8        27         5
        10        20        10
         8        26         6
         9        24         7
        12        21         7
         9        25         6
        10        24         6
        11        13        16
         9        26         5
        10        22         8
        11        17        12
        10        21         9
        10        21         9
        10        21         9
         7        27         6
        11        20         9
        12        11        17
        10        24         6
        12        15        13
        10        11        19
        11        10        19
         9        22         9
         9        21        10
         9        21        10
         9        24         7
        11        14        15
         9        21        10
        11        21         8
        11        13        16
        12        11        17
        13        11        16
        13        15        12
        10        18        12
        13        16        11
        11        14        15
        12        11        17
        12        12        16
        10        17        13
        11        13        16
        12        16        12
        10        14        16
         9        21        10
        10        20        10
        10        18        12
         9        21        10
         8        22        10
         9        26         5
         9        23         8
        13        12        15
        10        20        10
        12         8        20
         9        21        10
        12        11        17
        10        17        13
         9        25         6
         9        23         8
        10        24         6
         9        21        10
        10        21         9
        12        11        17
        11        16        13
        10        24         6
        11        20         9
        12        15        13
        12        11        17
        12         9        19
        11        13        16
         8        23         9
        11        10        19
        11        17        12
        12        16        12
        10        14        16
        11        11        18
        10        20        10
        11        13        16
         9        22         9
        10        20        10
         9        21        10
        10        20        10
        12        15        13
         9        24         7
        10        14        16
        11        17        12
        10        17        13
         9        25         6
        12        12        16
         7        22        11
        11        20         9
        11        17        12
        11        16        13
        10        20        10
        11        18        11
        13        16        11
         9        21        10
        12        10        18
        11        14        15
        12        13        15
        12        16        12
        10        24         6
        12         9        19
        11        16        13
         9        22         9
        13        15        12
        12         8        20
        13         8        19
         9        21        10
        12        11        17
        12        11        17
         9        26         5
        11        19        10
        10        24         6
         9        23         8
        12        13        15
        10        24         6
        12        12        16
        12         9        19
        11        17        12
        10        24         6
         9        21        10
        13        16        11
        13        12        15
        11        13        16
        11        10        19
        11        21         8
        11        15        14
        10        20        10
        11        10        19
        11        17        12
        10        17        13
        11        14        15
        10        24         6
        10        20        10
        10        20        10
        11        10        19
        10        17        13
        11        17        12
        12         8        20
         9        18        13
         8        25         7
        10        14        16
        10        20        10
        12        12        16
         9        22         9
        11        20         9
        12        11        17
        14        15        11
        10        21         9
        16         9        15
        10        20        10
        13        15        12
        11        17        12
         9        22         9
        12        16        12
        11        20         9
        12        12        16
         8        26         6
        12        11        17
        12        17        11
        11        13        16
         8        26         6
         7        28         5
        12        11        17
        12         9        19
        12        14        14
        14        15        11
        12        16        12
        10        21         9
        11        13        16
        13        15        12
        11        15        14
        13        15        12
        12        12        16
        11        16        13
        11        11        18
        11        21         8
        10        24         6
        10        19        11
        12        12        16
        13        15        12
        14        15        11
        11        13        16
        12        17        11
        11        13        16
        10        20        10
        13        15        12
         9        25         6
        12        10        18
         9        24         7
        12        11        17
         9        22         9
        12        12        16
        11        20         9
         9        22         9
        11        22         7
         9        25         6
