   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.79674   0.89180   0.92716   0.79704   0.89197   0.92729
Max = 
   0.92500   0.93571   1.00000   0.92500   0.95873   1.00000
Min = 
   0.71667   0.65000   0.88658   0.40706   0.49538   0.54460
Last = 
   0.79741   0.89251   0.92795   0.84376   0.93780   0.96644

data = 
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.92500   0.00000   0.00000   0.92500   0.00000   0.00000
   0.71667   0.65000   0.00000   0.61250   0.65000   0.00000
   0.76250   0.87500   1.00000   0.80833   0.95000   1.00000
   0.78750   0.91250   0.97500   0.82500   0.93750   0.96875
   0.80667   0.93000   0.97833   0.84500   0.94750   0.98000
   0.82024   0.93571   0.97357   0.85417   0.94333   0.97000
   0.81339   0.91518   0.94964   0.79286   0.88095   0.92571
   0.79514   0.88542   0.91329   0.73125   0.82589   0.86786
   0.78278   0.87021   0.90369   0.73333   0.83472   0.88929
   0.79409   0.89242   0.93288   0.84500   0.95167   0.98396
   0.80227   0.90523   0.94717   0.84318   0.94364   0.97576
   0.80769   0.90892   0.94545   0.83750   0.92121   0.94159
   0.81154   0.91140   0.94635   0.83462   0.92051   0.94860
   0.81833   0.91929   0.95451   0.86250   0.95082   0.97692
   0.82229   0.92165   0.95547   0.85000   0.93190   0.95835
   0.82776   0.92662   0.95955   0.86875   0.94979   0.97281
   0.83219   0.93091   0.96384   0.86765   0.95239   0.97886
   0.83085   0.92554   0.95620   0.81944   0.89690   0.92757
   0.83289   0.92651   0.95693   0.85132   0.93202   0.95983
   0.81869   0.90320   0.92715   0.68375   0.76329   0.80059
   0.82121   0.90623   0.93106   0.84643   0.92548   0.94863
   0.80188   0.87737   0.89611   0.59886   0.68496   0.73013
   0.80571   0.88535   0.90822   0.84783   0.94121   0.96877
   0.80975   0.89263   0.91813   0.85625   0.94601   0.97017
   0.81254   0.89763   0.92523   0.84600   0.93600   0.96423
   0.80869   0.89250   0.92014   0.76058   0.85138   0.89087
   0.81250   0.89882   0.92801   0.86204   0.95150   0.97523
   0.81195   0.89635   0.92340   0.80446   0.87500   0.89462
   0.81534   0.90168   0.93008   0.86293   0.94963   0.97352
   0.81586   0.90246   0.93152   0.82333   0.90971   0.94120
   0.80872   0.89174   0.91871   0.70161   0.78817   0.82903
   0.81084   0.89568   0.92427   0.84375   0.93508   0.96463
   0.81319   0.89906   0.92816   0.85076   0.93400   0.95727
   0.81588   0.90324   0.93333   0.86029   0.94777   0.97338
   0.81488   0.90156   0.93144   0.79786   0.88311   0.91636
   0.80541   0.88756   0.91480   0.63958   0.72893   0.77750
   0.80804   0.89211   0.92062   0.85541   0.94508   0.97012
   0.81107   0.89721   0.92700   0.86711   0.95843   0.98279
   0.80218   0.88254   0.90779   0.63333   0.70169   0.73488
   0.79427   0.87170   0.89589   0.64000   0.73433   0.78588
   0.78728   0.86264   0.88658   0.64756   0.74494   0.79816
   0.78934   0.86742   0.89356   0.83155   0.93104   0.96152
   0.79001   0.86874   0.89506   0.80407   0.88685   0.91016
   0.79240   0.87377   0.90209   0.84375   0.94421   0.97412
   0.79355   0.87653   0.90625   0.81889   0.91601   0.94993
   0.79380   0.87777   0.90844   0.79946   0.89606   0.93191
   0.79652   0.88272   0.91466   0.85904   0.95691   0.98316
   0.79685   0.88381   0.91645   0.80469   0.90049   0.93659
   0.79916   0.88770   0.92107   0.85459   0.94866   0.97412
   0.79975   0.88864   0.92203   0.81400   0.90365   0.93339
   0.79987   0.88896   0.92243   0.80294   0.89420   0.92724
   0.79946   0.88858   0.92219   0.78894   0.88232   0.91924
   0.80087   0.89069   0.92447   0.83774   0.92658   0.95293
   0.80276   0.89372   0.92804   0.85278   0.94616   0.97356
   0.80429   0.89583   0.93023   0.84545   0.93316   0.95868
   0.80302   0.89387   0.92777   0.76830   0.85857   0.89523
   0.80419   0.89553   0.92953   0.83684   0.92586   0.95330
   0.80601   0.89827   0.93268   0.85776   0.94959   0.97597
