type = 
         1         2         3
mean = 
   14.4451   18.8139    6.7410
max = 
        26        29        13
min = 
         6         9         1

content sum = 
        11        21         8
        13        20         7
        18        15         7
        20        15         5
        11        19        10
        13        20         7
        18        19         3
        10        21         9
        14        21         5
        16        17         7
         9        25         6
        17        16         7
        16        19         5
        22        11         7
        10        20        10
        16        18         6
        17        15         8
         9        24         7
        11        23         6
        22        14         4
        11        22         7
        14        19         7
        17        16         7
        19        15         6
        10        24         6
        11        19        10
        18        19         3
        11        20         9
        13        22         5
        19        16         5
         8        26         6
        19        14         7
        15        18         7
        19        14         7
        10        20        10
        16        21         3
        17        17         6
        11        20         9
        13        23         4
        17        17         6
        12        21         7
        13        21         6
        19        17         4
        18        15         7
        10        21         9
        14        22         4
        18        15         7
        10        20        10
        15        18         7
        18        17         5
        10        20        10
        15        20         5
        18        17         5
        21        16         3
        11        20         9
        12        25         3
        20        12         8
         9        21        10
        12        24         4
        20        12         8
         9        22         9
        14        19         7
        19        16         5
        18        17         5
        12        21         7
        12        19         9
        20        17         3
         9        25         6
        18        16         6
        15        16         9
        10        21         9
        14        21         5
        19        16         5
        19        12         9
         9        22         9
        13        20         7
        19        19         2
        12        21         7
        14        18         8
        17        15         8
         9        21        10
        13        21         6
        19        13         8
        17        17         6
         9        21        10
        16        19         5
        17        17         6
        11        20         9
        14        21         5
        17        22         1
         9        22         9
        16        15         9
        17        13        10
        15        21         4
         8        26         6
        18        16         6
        15        21         4
         9        20        11
        14        22         4
        18        13         9
         9        25         6
        15        18         7
        19        14         7
        19        13         8
        10        24         6
        15        18         7
        19        17         4
         9        22         9
        12        20         8
        18        17         5
         8        27         5
        16        15         9
        15        16         9
        19        15         6
         9        21        10
        13        21         6
        18        18         4
         9        25         6
        11        19        10
        20        16         4
        11        21         8
        13        21         6
        17        17         6
        19        12         9
         9        21        10
        15        18         7
        17        20         3
        11        23         6
        14        18         8
        18        13         9
         9        23         8
        13        20         7
        19        14         7
        19        11        10
         9        25         6
        13        19         8
        18        20         2
        11        22         7
        15        20         5
        17        16         7
        12        21         7
        13        20         7
        19        13         8
        14        21         5
        11        22         7
        11        20         9
        19        16         5
        10        20        10
        15        22         3
        19        13         8
        10        25         5
        13        19         8
        20        18         2
        18        14         8
        11        23         6
        17        17         6
        16        19         5
         9        21        10
        13        20         7
        18        16         6
        11        21         8
        12        21         7
        18        17         5
        21        15         4
        10        22         8
        14        21         5
        20        13         7
        11        20         9
        13        19         8
        21        15         4
         9        25         6
