   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.27740   0.47486   0.61546   0.27779   0.47507   0.61548
Max = 
   0.27841   0.47611   0.63030   0.30000   0.53333   0.75000
Min = 
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
SD = 
   0.00632   0.00764   0.00650   0.03629   0.05817   0.07047
Last = 
   0.27821   0.47555   0.61575   0.29649   0.50491   0.65145

data = 
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.10000   0.30000   0.60000   0.25000   0.50000   0.75000
   0.13333   0.35000   0.60000   0.20000   0.40000   0.60000
   0.14286   0.34286   0.54286   0.16667   0.33333   0.50000
   0.17857   0.41071   0.62857   0.28571   0.52381   0.71429
   0.18681   0.40744   0.59623   0.21563   0.40089   0.55580
   0.19111   0.40292   0.57857   0.20833   0.39236   0.55208
   0.21091   0.43848   0.62576   0.30000   0.53333   0.70833
   0.21932   0.44705   0.63030   0.26136   0.47273   0.63939
   0.21410   0.42316   0.58311   0.18542   0.34356   0.47693
   0.20797   0.40117   0.54500   0.17115   0.32051   0.44974
   0.21833   0.42203   0.57842   0.28571   0.50549   0.67033
   0.22396   0.43121   0.59165   0.26333   0.47095   0.63132
   0.22022   0.41721   0.56614   0.19219   0.35188   0.48326
   0.22794   0.43235   0.58904   0.28971   0.50809   0.66919
   0.23216   0.43906   0.59799   0.26806   0.47484   0.63156
   0.23211   0.43588   0.59156   0.23158   0.41784   0.56584
   0.23810   0.44694   0.60684   0.29500   0.51329   0.67178
   0.24242   0.45417   0.61612   0.28571   0.50000   0.65789
   0.24160   0.44955   0.60728   0.23295   0.41872   0.56529
   0.23895   0.44071   0.59176   0.20978   0.37885   0.51416
   0.24308   0.44851   0.60306   0.29063   0.50571   0.66235
   0.24546   0.45222   0.60789   0.27400   0.48067   0.63445
   0.24687   0.45380   0.60952   0.26442   0.46646   0.61890
   0.25040   0.46013   0.61798   0.29630   0.51282   0.66872
