   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.25092   0.43335   0.56621   0.25160   0.43389   0.56663
Max = 
   0.25240   0.43547   0.57535   0.30000   0.52944   0.70396
Min = 
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
SD = 
   0.00635   0.00789   0.00701   0.04959   0.07970   0.09681
Last = 
   0.25230   0.43508   0.56803   0.26440   0.45526   0.59357

data = 
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.08750   0.26250   0.52500   0.21875   0.43750   0.65625
   0.09833   0.25125   0.41500   0.12000   0.24000   0.36000
   0.11310   0.27214   0.43500   0.15000   0.30000   0.45000
   0.13214   0.30625   0.47821   0.18929   0.36310   0.52143
   0.15000   0.33690   0.51329   0.21250   0.39821   0.55714
   0.15611   0.33792   0.49964   0.18056   0.34028   0.47917
   0.18182   0.39015   0.57394   0.29750   0.52944   0.70396
   0.18902   0.39625   0.57313   0.22500   0.41455   0.57152
   0.18878   0.38479   0.54441   0.18750   0.34659   0.47977
   0.18077   0.35549   0.48816   0.13269   0.24808   0.34755
   0.18167   0.35335   0.48489   0.18750   0.34478   0.47589
   0.17896   0.34317   0.46846   0.16000   0.29905   0.41918
   0.17794   0.33776   0.45950   0.17031   0.31250   0.43036
   0.18676   0.35806   0.49423   0.25735   0.45956   0.61581
   0.19459   0.37490   0.52088   0.26111   0.46471   0.62083
   0.19776   0.38013   0.52806   0.22632   0.40980   0.55679
   0.20071   0.38445   0.53289   0.22875   0.41039   0.55340
   0.20584   0.39430   0.54680   0.25714   0.45667   0.60938
   0.20128   0.37919   0.51783   0.15341   0.27846   0.38024
   0.20435   0.38509   0.52715   0.23804   0.42638   0.57374
   0.21117   0.39938   0.54851   0.28958   0.50417   0.66067
   0.21292   0.40146   0.55029   0.23400   0.41742   0.56003
   0.21225   0.39756   0.54210   0.20385   0.36631   0.49506
   0.21825   0.40991   0.56019   0.29630   0.51282   0.66872
   0.22063   0.41362   0.56458   0.25268   0.44577   0.59202
   0.21385   0.39439   0.53059   0.11897   0.22137   0.30965
   0.21930   0.40604   0.54854   0.29833   0.51477   0.66970
   0.22122   0.40930   0.55317   0.25000   0.44086   0.58556
   0.21847   0.40079   0.53787   0.17578   0.31568   0.42700
   0.21609   0.39395   0.52655   0.17803   0.32330   0.44162
   0.21996   0.40243   0.54010   0.28382   0.49283   0.64512
   0.21857   0.39800   0.53246   0.19500   0.34933   0.47138
   0.21359   0.38482   0.51052   0.12639   0.23536   0.32950
   0.21785   0.39455   0.52638   0.29459   0.50811   0.66120
   0.22031   0.40004   0.53551   0.26579   0.46593   0.61533
   0.21740   0.39228   0.52275   0.16218   0.29656   0.40797
   0.22134   0.40109   0.53668   0.29812   0.51269   0.66555
   0.22166   0.40136   0.53714   0.22805   0.40482   0.54148
   0.22350   0.40534   0.54357   0.26131   0.45851   0.60623
   0.22019   0.39660   0.52902   0.15058   0.27710   0.38354
   0.22354   0.40406   0.54072   0.29545   0.50846   0.66060
   0.22553   0.40838   0.54753   0.26944   0.47038   0.61913
   0.22449   0.40532   0.54236   0.20109   0.36046   0.48678
   0.22755   0.41196   0.55246   0.29787   0.51156   0.66352
   0.22957   0.41622   0.55887   0.27708   0.48141   0.63097
   0.22969   0.41580   0.55762   0.23265   0.40929   0.54322
   0.23225   0.42116   0.56549   0.29500   0.50694   0.65803
   0.23441   0.42555   0.57180   0.28824   0.49718   0.64754
   0.23342   0.42247   0.56629   0.20817   0.37112   0.49874
   0.23068   0.41504   0.55353   0.15943   0.28882   0.39402
   0.23306   0.42015   0.56126   0.29630   0.50874   0.65989
   0.23206   0.41724   0.55634   0.20500   0.36586   0.49238
   0.23023   0.41234   0.54818   0.17991   0.32417   0.44007
   0.23258   0.41746   0.55606   0.29825   0.51128   0.66234
   0.23283   0.41770   0.55634   0.24009   0.42220   0.56023
   0.23329   0.41845   0.55742   0.24661   0.43263   0.57257
   0.23500   0.42209   0.56296   0.28542   0.49251   0.64188
   0.23548   0.42281   0.56383   0.25000   0.43686   0.57645
   0.23643   0.42467   0.56659   0.26532   0.46199   0.60724
   0.23482   0.42006   0.55836   0.18492   0.32629   0.43496
   0.23495   0.41986   0.55761   0.23906   0.41563   0.54620
   0.23664   0.42351   0.56322   0.29077   0.50018   0.65008
   0.23489   0.41888   0.55553   0.17803   0.32027   0.43449
   0.23608   0.42143   0.55949   0.27537   0.47652   0.62292
   0.23299   0.41344   0.54613   0.12941   0.23772   0.32894
   0.23025   0.40649   0.53476   0.13696   0.25125   0.34719
   0.23122   0.40873   0.53859   0.26464   0.45952   0.60281
   0.23019   0.40614   0.53458   0.19437   0.34666   0.46635
   0.22928   0.40392   0.53129   0.19688   0.35201   0.47451
   0.23046   0.40676   0.53617   0.27295   0.47407   0.62154
   0.23190   0.41009   0.54159   0.28446   0.48998   0.63785
   0.23277   0.41211   0.54499   0.26500   0.46129   0.60621
   0.23348   0.41372   0.54768   0.25987   0.45326   0.59683
   0.23510   0.41735   0.55334   0.29675   0.50817   0.65798
   0.23505   0.41705   0.55280   0.23333   0.40942   0.54258
   0.23407   0.41453   0.54878   0.19557   0.35005   0.47239
   0.23388   0.41396   0.54787   0.22656   0.39892   0.53043
   0.23432   0.41487   0.54934   0.25185   0.43895   0.57800
   0.23531   0.41713   0.55296   0.27561   0.47734   0.62442
   0.23362   0.41281   0.54580   0.16416   0.29622   0.40274
   0.23489   0.41570   0.55038   0.28750   0.49459   0.64310
   0.23400   0.41338   0.54655   0.19676   0.34936   0.46806
   0.23361   0.41237   0.54498   0.21715   0.38392   0.51222
   0.23491   0.41533   0.54967   0.29080   0.49940   0.64834
   0.23605   0.41788   0.55366   0.28551   0.49100   0.63839
   0.23604   0.41774   0.55342   0.23567   0.41364   0.54820
   0.23442   0.41358   0.54648   0.16222   0.29161   0.39563
   0.23555   0.41617   0.55060   0.28654   0.49302   0.64122
   0.23639   0.41806   0.55359   0.27446   0.47452   0.62002
   0.23570   0.41626   0.55063   0.20403   0.36176   0.48405
   0.23657   0.41823   0.55377   0.27686   0.47863   0.62524
   0.23635   0.41764   0.55285   0.22632   0.39934   0.53180
   0.23651   0.41793   0.55336   0.24375   0.42712   0.56504
   0.23773   0.42067   0.55757   0.29665   0.50744   0.65659
   0.23822   0.42171   0.55916   0.26173   0.45476   0.59698
   0.23861   0.42248   0.56031   0.25758   0.44764   0.58782
   0.23982   0.42515   0.56432   0.30000   0.51212   0.66147
   0.23925   0.42361   0.56171   0.21089   0.37291   0.49774
   0.23900   0.42287   0.56044   0.22623   0.39826   0.52924
   0.23908   0.42294   0.56050   0.24296   0.42517   0.56189
   0.24020   0.42541   0.56423   0.29808   0.50934   0.65846
   0.24043   0.42578   0.56469   0.25238   0.43876   0.57643
   0.23977   0.42400   0.56162   0.20495   0.36196   0.48259
   0.24087   0.42640   0.56526   0.29907   0.51067   0.65980
   0.24054   0.42553   0.56385   0.22315   0.39476   0.52696
   0.24096   0.42640   0.56517   0.26353   0.45742   0.59996
   0.24202   0.42871   0.56862   0.30000   0.51193   0.66106
   0.24264   0.43001   0.57055   0.27635   0.47708   0.62261
   0.24143   0.42692   0.56544   0.17433   0.31386   0.42617
   0.24046   0.42441   0.56119   0.18650   0.33133   0.44425
   0.24124   0.42612   0.56384   0.28487   0.49001   0.63732
   0.24209   0.42799   0.56668   0.29065   0.49841   0.64645
   0.24092   0.42494   0.56152   0.17371   0.30921   0.41556
   0.24189   0.42708   0.56479   0.29808   0.50909   0.65794
   0.24242   0.42823   0.56657   0.27331   0.47264   0.61779
   0.24193   0.42694   0.56443   0.21324   0.37674   0.50257
   0.24223   0.42754   0.56533   0.26000   0.45100   0.59148
   0.24307   0.42938   0.56812   0.29339   0.50228   0.65054
   0.24238   0.42762   0.56524   0.20082   0.35717   0.47944
   0.24200   0.42657   0.56345   0.21890   0.38432   0.50976
   0.24290   0.42856   0.56648   0.29839   0.50944   0.65822
   0.24337   0.42958   0.56806   0.27240   0.47126   0.61622
   0.24296   0.42841   0.56602   0.21726   0.38040   0.50323
   0.24167   0.42515   0.56062   0.16043   0.28911   0.39312
   0.24207   0.42601   0.56198   0.26719   0.46226   0.60470
   0.24273   0.42749   0.56430   0.28508   0.49019   0.63739
   0.24358   0.42938   0.56718   0.29865   0.50973   0.65843
   0.24264   0.42697   0.56319   0.18149   0.32370   0.43575
   0.24292   0.42758   0.56417   0.26117   0.45374   0.59569
   0.24337   0.42857   0.56573   0.27331   0.47208   0.61649
   0.24388   0.42968   0.56745   0.27743   0.47831   0.62359
   0.24454   0.43113   0.56967   0.28889   0.49558   0.64308
   0.24469   0.43140   0.57004   0.25515   0.44334   0.58228
   0.24543   0.43300   0.57245   0.29526   0.50478   0.65303
   0.24463   0.43091   0.56895   0.18967   0.33649   0.45082
   0.24427   0.42998   0.56744   0.21978   0.38751   0.51612
   0.24499   0.43157   0.56986   0.29518   0.50460   0.65278
   0.24563   0.43296   0.57197   0.29025   0.49741   0.64491
   0.24586   0.43342   0.57266   0.26215   0.45487   0.59660
   0.24553   0.43251   0.57111   0.22220   0.38983   0.51677
   0.24625   0.43407   0.57345   0.29722   0.50753   0.65591
   0.24683   0.43533   0.57535   0.28879   0.49538   0.64280
   0.24567   0.43240   0.57049   0.16199   0.29189   0.39686
   0.24640   0.43398   0.57288   0.29932   0.51048   0.65903
   0.24686   0.43497   0.57439   0.28091   0.48333   0.62902
   0.24666   0.43434   0.57325   0.23154   0.40351   0.53161
   0.24602   0.43271   0.57057   0.19833   0.35204   0.47201
   0.24664   0.43407   0.57265   0.29321   0.50170   0.64958
   0.24718   0.43524   0.57442   0.28783   0.49369   0.64064
   0.24634   0.43305   0.57069   0.18301   0.32301   0.43062
   0.24702   0.43453   0.57294   0.29870   0.50955   0.65798
   0.24736   0.43523   0.57398   0.27323   0.47070   0.61340
   0.24645   0.43286   0.56994   0.17628   0.31139   0.41563
   0.24712   0.43434   0.57220   0.29936   0.51045   0.65890
   0.24746   0.43505   0.57328   0.27421   0.47226   0.61530
   0.24683   0.43345   0.57064   0.19701   0.34933   0.46768
   0.24722   0.43428   0.57192   0.27812   0.47829   0.62231
   0.24770   0.43534   0.57355   0.28634   0.49135   0.63791
   0.24735   0.43438   0.57193   0.21883   0.38319   0.50722
   0.24638   0.43191   0.56783   0.16779   0.29966   0.40408
   0.24690   0.43308   0.56966   0.28948   0.49616   0.64343
   0.24648   0.43194   0.56770   0.21227   0.37004   0.48809
   0.24690   0.43286   0.56914   0.28133   0.48318   0.62790
   0.24752   0.43424   0.57126   0.29895   0.50979   0.65811
   0.24801   0.43531   0.57293   0.28869   0.49487   0.64186
   0.24728   0.43345   0.56982   0.18639   0.32960   0.44056
   0.24655   0.43150   0.56645   0.18471   0.32234   0.42585
   0.24715   0.43285   0.56855   0.29825   0.50877   0.65701
   0.24622   0.43050   0.56468   0.16672   0.29750   0.40107
   0.24543   0.42853   0.56147   0.17760   0.31611   0.42495
   0.24500   0.42746   0.55979   0.20790   0.36640   0.48803
   0.24514   0.42778   0.56038   0.25686   0.44600   0.58551
   0.24453   0.42630   0.55806   0.19148   0.34081   0.45812
   0.24509   0.42760   0.56015   0.29435   0.50315   0.65094
   0.24561   0.42879   0.56207   0.29115   0.49860   0.64610
   0.24470   0.42656   0.55849   0.16369   0.29482   0.40068
