   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.23468   0.41286   0.54805   0.23504   0.41312   0.54817
Max = 
   0.23543   0.41372   0.60000   0.25000   0.50000   0.75000
Min = 
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
SD = 
   0.00518   0.00645   0.00579   0.02376   0.03919   0.04872
Last = 
   0.23541   0.41368   0.54878   0.21438   0.38012   0.50864

data = 
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.10000   0.30000   0.60000   0.25000   0.50000   0.75000
   0.13333   0.35000   0.60000   0.20000   0.40000   0.60000
   0.14167   0.33929   0.53571   0.16250   0.32500   0.48750
   0.13482   0.29777   0.43929   0.11429   0.22857   0.34286
   0.16042   0.35327   0.52976   0.25000   0.46429   0.64286
   0.17278   0.37229   0.55119   0.22222   0.41667   0.58333
   0.17773   0.37379   0.54470   0.20000   0.37778   0.53333
   0.17197   0.34898   0.49449   0.14318   0.27455   0.39409
   0.18365   0.37255   0.53129   0.24792   0.45114   0.61409
   0.19038   0.38338   0.54533   0.23077   0.42308   0.58042
   0.19357   0.38582   0.54570   0.21429   0.39560   0.54670
   0.18854   0.36759   0.51100   0.15333   0.28857   0.40692
   0.19577   0.38213   0.53362   0.25000   0.45000   0.60714
   0.20000   0.38912   0.54316   0.23382   0.42408   0.57654
   0.20234   0.39167   0.54543   0.22222   0.40523   0.55392
   0.19750   0.37603   0.51683   0.15395   0.28743   0.40245
   0.20250   0.38622   0.53284   0.25000   0.44737   0.60088
   0.20574   0.39200   0.54122   0.23810   0.42857   0.57895
   0.20731   0.39379   0.54307   0.22386   0.40574   0.55182
   0.20516   0.38646   0.52995   0.18152   0.33518   0.46438
   0.20875   0.39357   0.54065   0.25000   0.44565   0.59684
   0.21108   0.39759   0.54622   0.23900   0.42842   0.57684
   0.21204   0.39836   0.54657   0.22404   0.40454   0.54856
   0.20913   0.38918   0.52971   0.17130   0.31268   0.42857
   0.21195   0.39490   0.53858   0.25000   0.44444   0.59402
   0.21391   0.39851   0.54391   0.24138   0.43103   0.57854
   0.21500   0.40005   0.54587   0.23083   0.41443   0.55912
   0.20983   0.38535   0.51965   0.13226   0.24323   0.33611
   0.21226   0.39064   0.52841   0.25000   0.44355   0.59194
   0.21368   0.39343   0.53299   0.23636   0.42230   0.56733
   0.21466   0.39516   0.53575   0.23088   0.41364   0.55714
   0.21329   0.39097   0.52849   0.19000   0.34479   0.47035
   0.21490   0.39419   0.53344   0.24306   0.43071   0.57435
   0.21639   0.39721   0.53817   0.24324   0.43243   0.57838
   0.21589   0.39526   0.53464   0.20658   0.37194   0.50370
   0.21532   0.39331   0.53131   0.20449   0.36923   0.50132
   0.21701   0.39690   0.53694   0.25000   0.44231   0.58907
   0.21728   0.39682   0.53628   0.22256   0.39588   0.53002
   0.21824   0.39872   0.53923   0.23810   0.42393   0.56794
   0.21649   0.39380   0.53082   0.17965   0.32669   0.44676
   0.21778   0.39649   0.53503   0.24545   0.43414   0.57822
   0.21877   0.39847   0.53808   0.24056   0.42679   0.57006
   0.21940   0.39961   0.53980   0.23370   0.41638   0.55833
   0.21868   0.39748   0.53623   0.20213   0.36543   0.49690
   0.21996   0.40017   0.54039   0.25000   0.44149   0.58719
   0.22094   0.40213   0.54335   0.24439   0.43289   0.57736
   0.21949   0.39791   0.53574   0.18400   0.33035   0.44643
   0.21848   0.39505   0.53091   0.19314   0.34835   0.47283
   0.21967   0.39766   0.53510   0.25000   0.44118   0.58647
