delta change = 
         1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36        37        38        39        40
      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75      0.75
      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50      1.50
      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25      2.25
      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00      3.00
      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75      3.75
      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50      4.50
      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25      5.25
      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00      6.00
      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75      6.75
      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50      7.50
      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25      8.25
