delta change = 
         1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36        37        38        39        40
      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85      0.85
      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70      1.70
      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55      2.55
      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40      3.40
      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25      4.25
      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10      5.10
      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95      5.95
      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80      6.80
      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65      7.65
      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50      8.50
      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35      9.35
     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20     10.20
     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05     11.05
     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90     11.90
     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75     12.75
     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60     13.60
     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45     14.45
     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30     15.30
     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15     16.15
     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00     17.00
     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85     17.85
     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70     18.70
     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55     19.55
     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40     20.40
     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25     21.25
     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10     22.10
     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95     22.95
     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80     23.80
     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65     24.65
     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50     25.50
     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35     26.35
