   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.25200   0.43509   0.56838   0.25259   0.43556   0.56872
Max = 
   0.25324   0.43699   0.61323   0.30000   0.53333   0.73125
Min = 
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
SD = 
   0.00632   0.00790   0.00722   0.04874   0.07845   0.09543
Last = 
   0.25320   0.43657   0.56993   0.25690   0.44254   0.57729

data = 
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.09750   0.29250   0.58500   0.24375   0.48750   0.73125
   0.09833   0.24625   0.39500   0.10000   0.20000   0.30000
   0.10714   0.25143   0.39071   0.12917   0.25833   0.38750
   0.12411   0.28437   0.44179   0.17500   0.33929   0.49286
   0.15000   0.33899   0.52222   0.24062   0.44821   0.62277
   0.16333   0.35937   0.54167   0.21667   0.40694   0.57083
   0.18818   0.40682   0.60227   0.30000   0.53333   0.70833
   0.20000   0.42239   0.61323   0.25909   0.46909   0.63515
   0.18846   0.37955   0.52797   0.12500   0.23674   0.33614
   0.17830   0.34554   0.46613   0.11731   0.22083   0.31154
   0.18000   0.34643   0.47016   0.19107   0.35000   0.48125
   0.17812   0.33897   0.45949   0.16500   0.30667   0.42747
   0.17941   0.34022   0.46317   0.18906   0.34604   0.47513
   0.18922   0.36268   0.50087   0.26765   0.47500   0.63279
   0.19591   0.37678   0.52310   0.25278   0.45196   0.60650
   0.19987   0.38382   0.53289   0.23553   0.42368   0.57206
   0.19893   0.37853   0.52201   0.19000   0.34684   0.47575
   0.20325   0.38683   0.53415   0.24643   0.43940   0.58878
   0.20395   0.38604   0.53091   0.21136   0.38074   0.51550
   0.20851   0.39517   0.54445   0.25870   0.45909   0.61220
   0.21283   0.40318   0.55523   0.26250   0.46196   0.61180
   0.21715   0.41121   0.56598   0.26900   0.47275   0.62512
   0.21325   0.39862   0.54225   0.16442   0.29785   0.40579
   0.21554   0.40224   0.54681   0.24537   0.43248   0.57418
   0.22020   0.41167   0.56072   0.28304   0.49339   0.64766
   0.21190   0.38839   0.51949   0.09569   0.17888   0.25146
   0.21699   0.39956   0.53732   0.29083   0.50374   0.65767
   0.21865   0.40249   0.54190   0.24355   0.43086   0.57394
   0.22012   0.40509   0.54600   0.24297   0.43110   0.57573
   0.21885   0.40079   0.53839   0.19848   0.35630   0.48138
   0.22311   0.40989   0.55236   0.29338   0.50695   0.66061
   0.22468   0.41264   0.55630   0.25143   0.44294   0.58781
   0.21944   0.39842   0.53199   0.12778   0.23730   0.33145
   0.22130   0.40212   0.53780   0.25473   0.44531   0.58718
