   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.80944   0.89903   0.92956   0.80902   0.89905   0.92967
Max = 
   0.81845   0.97500   0.97500   0.87611   0.97500   0.98857
Min = 
   0.65000   0.84125   0.87000   0.38571   0.46912   0.51626
SD = 
   0.00418   0.00278   0.00256   0.06895   0.06980   0.06435
Last = 
   0.80866   0.89929   0.93031   0.86563   0.95823   0.98299

data = 
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.65000   0.00000   0.00000   0.65000   0.00000   0.00000
   0.75000   0.97500   0.00000   0.80000   0.97500   0.00000
   0.78333   0.94375   0.97500   0.81667   0.93333   0.97500
   0.75500   0.86750   0.87000   0.71250   0.81667   0.84375
   0.73500   0.84125   0.87333   0.69500   0.81500   0.87500
   0.75714   0.88786   0.93857   0.81250   0.95000   0.98750
   0.77589   0.91384   0.96357   0.83214   0.95714   0.98857
   0.76944   0.89405   0.93155   0.74687   0.85446   0.89152
   0.77667   0.90062   0.93845   0.80556   0.91597   0.94881
   0.78182   0.90515   0.94439   0.80500   0.91722   0.95479
   0.78333   0.90398   0.94348   0.79091   0.90045   0.94167
   0.78590   0.90603   0.94703   0.80000   0.91288   0.95500
   0.78077   0.89224   0.92690   0.75000   0.84167   0.87657
   0.77167   0.87621   0.90777   0.71250   0.81209   0.85515
   0.77729   0.88576   0.92174   0.81667   0.92714   0.96368
   0.78015   0.89081   0.92984   0.80156   0.91438   0.95616
   0.78333   0.89473   0.93481   0.80882   0.91434   0.95221
   0.77588   0.88230   0.92071   0.71250   0.81601   0.86783
   0.77895   0.88636   0.92527   0.80658   0.90936   0.94352
   0.78155   0.88951   0.92893   0.80625   0.90842   0.94445
   0.77922   0.88602   0.92636   0.75595   0.86393   0.91481
   0.77895   0.88521   0.92565   0.77614   0.87976   0.92229
   0.78342   0.89200   0.93377   0.83261   0.93953   0.97434
   0.78358   0.88925   0.92737   0.78542   0.86911   0.89381
   0.78685   0.89399   0.93332   0.82600   0.93033   0.96602
   0.79010   0.89815   0.93811   0.83077   0.93146   0.96566
   0.78591   0.89118   0.93056   0.73148   0.83305   0.88526
   0.78738   0.89176   0.92979   0.80714   0.89676   0.92495
   0.78948   0.89422   0.93256   0.81897   0.91638   0.95055
   0.78903   0.89194   0.92904   0.78250   0.87069   0.90534
   0.79204   0.89607   0.93406   0.83710   0.93597   0.96919
   0.79574   0.90115   0.93986   0.85312   0.95202   0.98189
   0.79060   0.89221   0.92889   0.70833   0.79981   0.84660
   0.79378   0.89682   0.93444   0.84632   0.94599   0.97746
   0.79520   0.89856   0.93672   0.81929   0.91773   0.95498
   0.77594   0.86919   0.89942   0.43889   0.53631   0.59169
   0.77927   0.87530   0.90771   0.83919   0.94658   0.97819
   0.78144   0.87869   0.91181   0.82171   0.91935   0.94769
   0.77413   0.86808   0.89971   0.63526   0.73728   0.79080
   0.76756   0.85876   0.88833   0.63937   0.74067   0.78311
   0.77091   0.86520   0.89705   0.83780   0.94890   0.97986
   0.77315   0.86953   0.90304   0.81905   0.92729   0.96145
   0.77585   0.87415   0.90876   0.83256   0.93724   0.96599
   0.77295   0.86907   0.90188   0.71080   0.79804   0.83131
   0.77514   0.87280   0.90665   0.82333   0.92621   0.95679
   0.77634   0.87532   0.91039   0.80326   0.91232   0.95055
   0.77921   0.88010   0.91628   0.84521   0.95180   0.98113
   0.77868   0.87927   0.91544   0.76615   0.86653   0.90595
   0.78131   0.88347   0.92048   0.84439   0.94926   0.97844
   0.78251   0.88510   0.92237   0.81200   0.91122   0.94457
   0.78431   0.88787   0.92566   0.82941   0.93308   0.96519
   0.78351   0.88670   0.92458   0.76298   0.86718   0.91125
   0.78422   0.88785   0.92612   0.80283   0.90742   0.94536
   0.78199   0.88439   0.92218   0.72269   0.82442   0.87199
   0.78377   0.88715   0.92543   0.83182   0.93584   0.96775
   0.77868   0.87944   0.91612   0.63884   0.74068   0.79271
   0.78011   0.88187   0.91925   0.82018   0.92652   0.96152
   0.78019   0.88212   0.91982   0.78233   0.88671   0.92771
   0.77805   0.87901   0.91620   0.71610   0.81987   0.86542
   0.77948   0.88134   0.91909   0.82167   0.92643   0.96028
   0.77680   0.87705   0.91358   0.69631   0.79260   0.83378
   0.77865   0.88018   0.91749   0.83508   0.94286   0.97507
   0.77690   0.87783   0.91500   0.72262   0.82999   0.87776
   0.77887   0.88105   0.91888   0.84102   0.94774   0.97805
   0.78065   0.88383   0.92212   0.83769   0.94214   0.97229
   0.78139   0.88490   0.92342   0.80530   0.90770   0.94385
   0.78322   0.88769   0.92661   0.84366   0.94803   0.97765
   0.78506   0.89041   0.92967   0.84669   0.95041   0.97936
   0.78652   0.89246   0.93191   0.83623   0.93819   0.96888
   0.78797   0.89449   0.93414   0.83786   0.94055   0.97155
   0.78772   0.89404   0.93367   0.77887   0.88358   0.92559
   0.78904   0.89582   0.93556   0.83611   0.93734   0.96830
   0.79013   0.89725   0.93707   0.82945   0.93128   0.96337
   0.79151   0.89910   0.93902   0.84189   0.94340   0.97365
   0.79289   0.90093   0.94095   0.84367   0.94533   0.97565
   0.78853   0.89401   0.93224   0.62500   0.72332   0.77336
   0.78901   0.89444   0.93252   0.80747   0.90520   0.93766
   0.78753   0.89230   0.93012   0.73045   0.83808   0.88514
   0.78875   0.89411   0.93224   0.83639   0.94057   0.97243
   0.78999   0.89591   0.93431   0.83906   0.94282   0.97416
   0.79109   0.89737   0.93587   0.83519   0.93571   0.96641
   0.79176   0.89804   0.93647   0.81860   0.91600   0.94827
   0.79240   0.89874   0.93718   0.81867   0.91758   0.95146
   0.78532   0.88780   0.92329   0.49137   0.58870   0.64188
   0.78596   0.88870   0.92435   0.81324   0.91380   0.94620
   0.78716   0.89052   0.92653   0.83808   0.94144   0.97170
   0.78602   0.88880   0.92465   0.73678   0.84006   0.88511
   0.78631   0.88932   0.92545   0.79915   0.90412   0.94254
   0.78639   0.88968   0.92604   0.78961   0.90020   0.93870
   0.78704   0.89059   0.92706   0.81611   0.91714   0.94922
   0.78766   0.89145   0.92811   0.81566   0.91703   0.95115
   0.78823   0.89216   0.92889   0.81413   0.91337   0.94640
   0.78944   0.89393   0.93095   0.84516   0.94788   0.97717
   0.79073   0.89579   0.93303   0.85080   0.95268   0.98045
   0.79203   0.89763   0.93506   0.85316   0.95456   0.98181
   0.78926   0.89328   0.92978   0.65729   0.75701   0.80684
   0.79060   0.89524   0.93200   0.85490   0.95735   0.98421
   0.78826   0.89166   0.92778   0.67500   0.77709   0.82753
   0.78661   0.88915   0.92492   0.70556   0.80809   0.85634
   0.78643   0.88852   0.92382   0.77750   0.86798   0.89703
   0.78753   0.89024   0.92590   0.84282   0.94711   0.97704
   0.78856   0.89177   0.92771   0.84044   0.94263   0.97231
   0.78883   0.89208   0.92806   0.80267   0.90261   0.93699
   0.78866   0.89175   0.92774   0.78005   0.88034   0.91947
   0.78909   0.89219   0.92813   0.81143   0.90749   0.93812
   0.79002   0.89352   0.92965   0.83868   0.93945   0.96898
   0.79068   0.89428   0.93036   0.82547   0.92086   0.94881
   0.79176   0.89580   0.93208   0.84954   0.94967   0.97710
   0.79231   0.89630   0.93235   0.82225   0.91409   0.93956
   0.79312   0.89727   0.93330   0.83727   0.93221   0.95862
   0.79419   0.89876   0.93497   0.85293   0.95267   0.98003
   0.79523   0.90016   0.93651   0.85290   0.95158   0.97854
   0.79582   0.90086   0.93729   0.82898   0.92697   0.95865
   0.79675   0.90213   0.93870   0.84956   0.94925   0.97788
   0.79695   0.90227   0.93886   0.80804   0.90760   0.94329
   0.79675   0.90169   0.93802   0.78556   0.87995   0.91442
   0.79390   0.89715   0.93236   0.62842   0.72289   0.77117
   0.79483   0.89847   0.93390   0.84894   0.94946   0.97815
   0.79564   0.89955   0.93510   0.84370   0.94159   0.96987
   0.79620   0.90023   0.93588   0.82938   0.92713   0.95860
   0.79544   0.89893   0.93425   0.74979   0.84754   0.88630
   0.79422   0.89689   0.93162   0.72070   0.81509   0.85336
   0.79508   0.89799   0.93276   0.84715   0.94221   0.96690
   0.79588   0.89911   0.93406   0.84556   0.94465   0.97334
   0.79623   0.89948   0.93450   0.81740   0.91499   0.94809
   0.79687   0.90028   0.93534   0.83710   0.93316   0.96110
   0.79783   0.90159   0.93681   0.85807   0.95617   0.98227
   0.79878   0.90288   0.93824   0.85957   0.95730   0.98305
   0.79937   0.90358   0.93900   0.83702   0.93318   0.96271
   0.79956   0.90363   0.93893   0.81173   0.90580   0.93674
   0.79955   0.90349   0.93880   0.79924   0.89732   0.93467
   0.80007   0.90389   0.93896   0.83352   0.92123   0.94434
   0.79978   0.90314   0.93788   0.78102   0.87026   0.90279
   0.80025   0.90362   0.93836   0.83116   0.92479   0.95393
   0.80112   0.90477   0.93963   0.85944   0.95579   0.98170
   0.79862   0.90077   0.93443   0.63015   0.72227   0.76125
   0.79827   0.90015   0.93378   0.77445   0.87192   0.91222
   0.79883   0.90089   0.93469   0.83696   0.93454   0.96524
   0.79918   0.90118   0.93491   0.82338   0.91434   0.94262
   0.79994   0.90224   0.93616   0.85304   0.95115   0.97894
   0.80011   0.90231   0.93621   0.81206   0.90555   0.93785
   0.80084   0.90328   0.93733   0.85194   0.94861   0.97604
   0.80149   0.90413   0.93829   0.84790   0.94393   0.97218
   0.80089   0.90315   0.93722   0.75764   0.85664   0.89948
   0.80162   0.90414   0.93837   0.85431   0.95166   0.97918
   0.80222   0.90480   0.93899   0.84555   0.93644   0.96110
   0.80230   0.90467   0.93870   0.80850   0.89850   0.92822
   0.80299   0.90559   0.93975   0.85389   0.95034   0.97793
   0.80370   0.90653   0.94082   0.85638   0.95266   0.97972
   0.80360   0.90607   0.94004   0.79583   0.88314   0.91145
   0.80421   0.90674   0.94066   0.85000   0.94012   0.96360
   0.80441   0.90668   0.94035   0.81957   0.90363   0.92880
   0.80477   0.90708   0.94085   0.83186   0.92727   0.95949
   0.80555   0.90810   0.94197   0.86526   0.95952   0.98415
   0.80530   0.90742   0.94099   0.78613   0.87281   0.90406
   0.80565   0.90780   0.94147   0.83269   0.92764   0.95970
   0.80613   0.90832   0.94200   0.84379   0.93511   0.96238
   0.80581   0.90768   0.94116   0.78085   0.87420   0.90858
   0.80553   0.90710   0.94044   0.78318   0.87683   0.91259
   0.80592   0.90755   0.94094   0.83703   0.93115   0.96042
   0.80640   0.90807   0.94150   0.84457   0.93584   0.96349
   0.80681   0.90852   0.94200   0.83981   0.93235   0.96183
   0.80712   0.90884   0.94238   0.83267   0.92615   0.95772
   0.80664   0.90789   0.94121   0.76753   0.85651   0.89412
   0.80719   0.90850   0.94182   0.85152   0.94157   0.96638
   0.80658   0.90745   0.94060   0.75633   0.84992   0.89084
   0.80684   0.90761   0.94067   0.82904   0.91641   0.94365
   0.80709   0.90775   0.94071   0.82783   0.91544   0.94242
   0.80763   0.90836   0.94133   0.85251   0.94229   0.96699
   0.80637   0.90616   0.93839   0.69985   0.78318   0.81579
   0.80483   0.90369   0.93539   0.67412   0.76449   0.80951
   0.80500   0.90386   0.93563   0.81991   0.91351   0.94566
   0.80504   0.90371   0.93537   0.80824   0.89533   0.92433
   0.80516   0.90381   0.93557   0.81552   0.90968   0.94387
   0.80478   0.90313   0.93480   0.77157   0.86356   0.90173
   0.80374   0.90144   0.93279   0.71335   0.80381   0.84605
   0.80374   0.90138   0.93280   0.80297   0.89776   0.93304
   0.80397   0.90163   0.93309   0.82486   0.91621   0.94612
   0.80463   0.90256   0.93420   0.86285   0.95735   0.98279
   0.80448   0.90219   0.93375   0.79111   0.88007   0.91374
   0.80476   0.90246   0.93405   0.82983   0.91908   0.94753
   0.80520   0.90309   0.93484   0.84533   0.94038   0.97017
   0.80559   0.90360   0.93549   0.84098   0.93471   0.96459
   0.80622   0.90447   0.93651   0.86372   0.95735   0.98262
   0.80657   0.90492   0.93705   0.83932   0.93192   0.96186
   0.80674   0.90510   0.93732   0.82177   0.91637   0.94961
   0.80691   0.90529   0.93760   0.82273   0.91727   0.95042
   0.80744   0.90604   0.93848   0.85785   0.95209   0.97923
   0.80604   0.90382   0.93580   0.67421   0.76557   0.81147
   0.80644   0.90433   0.93642   0.84395   0.93644   0.96511
   0.80390   0.90040   0.93154   0.56283   0.65262   0.70210
   0.80438   0.90108   0.93238   0.85026   0.94436   0.97222
   0.80455   0.90116   0.93238   0.82073   0.90621   0.93242
   0.80508   0.90193   0.93333   0.85580   0.95104   0.97849
   0.80428   0.90063   0.93171   0.72705   0.81682   0.85389
   0.80290   0.89853   0.92928   0.66875   0.76321   0.81241
   0.80312   0.89885   0.92973   0.82449   0.91910   0.95137
   0.80363   0.89961   0.93069   0.85417   0.94980   0.97741
   0.80358   0.89948   0.93058   0.79837   0.89067   0.92543
   0.80415   0.90032   0.93159   0.86112   0.95567   0.98133
   0.80369   0.89959   0.93075   0.75746   0.85144   0.88930
   0.80407   0.90014   0.93146   0.84158   0.93657   0.96670
   0.80445   0.90065   0.93206   0.84335   0.93505   0.96204
   0.80430   0.90036   0.93173   0.78909   0.88070   0.91525
   0.80483   0.90114   0.93269   0.85854   0.95411   0.98099
   0.80470   0.90086   0.93234   0.79199   0.88148   0.91436
   0.80441   0.90038   0.93184   0.77415   0.86783   0.90634
   0.80494   0.90115   0.93275   0.85998   0.95382   0.97959
   0.80491   0.90108   0.93273   0.80167   0.89625   0.93186
   0.80546   0.90187   0.93367   0.86250   0.95677   0.98237
   0.80592   0.90253   0.93448   0.85450   0.94877   0.97619
   0.80647   0.90333   0.93540   0.86486   0.95876   0.98381
   0.80674   0.90371   0.93589   0.83556   0.93075   0.96162
   0.80728   0.90446   0.93677   0.86425   0.95767   0.98279
   0.80777   0.90515   0.93757   0.86012   0.95392   0.98031
   0.80765   0.90487   0.93723   0.79468   0.88509   0.91877
   0.80815   0.90555   0.93800   0.86187   0.95418   0.97944
   0.80811   0.90545   0.93791   0.80459   0.89786   0.93286
   0.80823   0.90556   0.93806   0.82146   0.91411   0.94640
   0.80864   0.90611   0.93870   0.85330   0.94580   0.97319
