choose item = 
         1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36        37        38        39        40
       153       287       274        49       134        19        29       261       260        30       132        37        51       137       142       145       270       257        46        61       140        28        27       129       162       166        63       133        52        55       154       152       139        21       264        43       156       157       262        44
       274        61        81       101       221       116       227       224       228       234       229       300       294       237       119       298       115       233       225       297       117       114       299       112       226       113       120       111       295       110       296       118       231       107       109       236       220       235       223       240
       274        29       132        19        12       129        11        15         8       124       245        18         9        14        10       125       123       122       126         4       243         3       121       127       141       242       136        20        21       131       249       244       135       146       248        26       130        16       250       138
        49       287        61        63        66       274       182        51       169       162       170        67        72       153       178        81       180        52        55       166       145        46        79       189       181       281       183        62        76       190       288       193       277       280        83       289       270       157        56       184
        49       134       261        61       162        63       153        51        66        67        72       182        81        79       287       170       281       189       288       169       180       289       178       101       274        95        90       190       181       193       183       206        83        75       280        55       166       184        76       277
        49        61       287       289       182       288       206       209       221       294       101       112       116        95       224        99       292       107       213       109       300       216        90       115       211       219       215       200       228       210        81       189       293       100       105       193       190        79        97       290
       274       182       153       134        19       261       142        49        29        51       260        37       145       162       137       140        61       169       270       166       170       156        63       281        66       287        67       277       152        46       272        52        55       157       154        56        43        53        30       155
       274       134       261       142       260        29       132        19       245       244       257        30       129       137       140        21        18       124       125       248        12        15        11        27        26       123       126       133        20         8        23        28        33       130       141       128       136       243       146        46
       153       182       162        49        29        19       134       142       137       132        30        37        51        27        28        21       261        46       129       260       145       257       254        18       140       264       262       245        43       133        52       270       154        55       166       139       124        33        26       125
        49        29       132       134       245       129        19        30       261       260       142       145       274        51       137       257       264       140       153       162        37        46       133       154       166        28        27       152       139       156        63        52       262        43        61       270        21       157        55        44
       274        29       134        19       261       142       260       137       270       145        49        61       153        63       277       162        51       140        37       257        46        30       132       129       166        28       133       264        27        21        43        52        55        44       154       152       156       262       139       157
       274       134       261        49       142       145       153       137        61       162       169       170       182        63       287        66        51       166       281       140        37        67        52       178       156        55       270       277        46       152        56        29       157        43       272        53       280        30        54       154
       153        61       182       169        63       162       287       281        49       274       170        66       180       277        51        67       178       166       270       189       181        72        81        52       145        55       156       157       183        79       288        46        62        56       193       142       280       289        76        37
       153        29        19       245       132        30       261       257        21        27       244       134       129       137       140       133        28       142       145        18       124       260       125       130       254        12        15       248       128        46        26        11        23       123       126       249        33        37       141        20
       153        61        81       182       101       112       287        95       116       221       224       289        90       206       209       189       213        99       190        79       288       281       180       193       178        72       170       292        66        83       285       211       200       107       290        63        67       100       286       181
       153       182       162        61       287       189       190        81       101        95       289       292       112        99        90       288        79       107       206       100        72       209       293       213       211       105       216       200        83       193       281        66       180       178        97       285       109       201       290       221
        49       134       142       132        19        12       245       244        11        15       124       243         8       125         9        14       249       123       126        18        21       122        10       248       121       242       250       127       141        20         4        26       136       129        16       247         3       131       146       135
        49       134       142       153       261       274       145        61       137       140       270        51       162       260        29        30       257        37       132       129       166        46        19        28        27       133       154       152       262       156        63       264        52        43        55        44        66       157       254       155
       153       261       274       134        49        61        63       142        51        66       281       182       287        67        72        52       162       169       170       180       178        81       189       166        79        55       181       145       156       277        46       270       157        37        56       288        62       280        76       152
       153        61        49        29       134        19       261        30        37        51       260       142       145       274       137       140        63        46       257       270        52       262       162       132       129       166       154        28       133       152       264        27       254        55        43        44       156        54       139       157
        49       287       182       206       221       300       289       209       189       101       288        81       213        95       216       292       112       224       116       107       211        99       219       215       109       228        90       294       100       200       105       210       115        97       293       201        79       102       193       290
       153       134       142       132       129        19        29        49       145       261        61       137        51        63       140       274       162        37       260       257       254       133        30        46       154       166       152       264        28        27       139        21       262       245        18        43        52       124       146        55
       274        29        19       261       132        12        11       129       124       125       245        15        18       123        21       137        27       126       122       141       244       136       121         8       127       243       130         9        26       131       249       248        14        20        10         4       146        16       135       242
        49        29       134       261        61       274        51        63        37       142       270       277       162       281       153        66       145       287       169       170        67        72        52       288       182       166        55       156       137        46       272       140        43       157       152        56       154       155        30        53
       274        29       132        19       124       125       123        12       126        11       129        15       245       244       243        21        18       137        27        30       134       133       140       130        26       128       141       146       261        28        20       248       136        46        23       145        33       249        25       250
        49        61       261       162       287        63       274        51       169        66        81       182       281        67       170       153       178       180       189        72       166        52       277        79       181       270       145       156        55       288       142        46       157       280        37        56       152        62       155        76
       153        29       134        19        30       261       132        49       142       137        37        27       260       129        21       257       140        18       124       245       133        28       254       264       262        46        15        26       145        12       125        11       130       244       128        33       141        23       139       146
       153       182        81       101        61       169        63       287       170       281       162       178        49        66       274        51       270       145       166        67        72       142       180        52       277        37       261       156       157       137        46        55        56       181       189       280       152        79        62       288
       274       261       132        19        29       245        21        30        27       260        28       134       129        18       257        15       137       244       124        12        11       125       133       140       145       130       142       128        26       254       153        46        37        33       141        23       248       139       146        51
        49        61        81       101       221       116       289       112       119       115       227       109       107       111       300       294       224       234       228       114       229       297       225       226       117       298       216       219       113       213       220       233       295       237       110        99       215       292       206       293
        49       134        51       261        29        19       260        37       257       132       129       137       140        30        27        28       142       145       133       153        21       254       124        18       125        46        15       245       130        26       139       154       264       128       141        33        43       248       244        12
        49        29       245       261        19       132       129        12       134       124       137        30       244        21       125        18        15       123       243       126        11       248        27       249       133       140        26       130        28       128        46       257        20       141        23       136        33       250       146       131
