   Omega 1   Omega 2   Omega 3     Psi 1     Psi 2     Psi 3
Mean = 
   0.40144   0.60244   0.71513   0.40138   0.60235   0.71511
Max = 
   0.40717   0.62640   0.78742   0.53444   0.76925   0.88121
Min = 
   0.05000   0.15000   0.40000   0.05000   0.14568   0.19173
SD = 
   0.00808   0.00787   0.00594   0.10521   0.13890   0.14550
Last = 
   0.40137   0.60229   0.71526   0.41028   0.61987   0.73977

data = 
   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   0.05000   0.00000   0.00000   0.05000   0.00000   0.00000
   0.07500   0.15000   0.00000   0.08750   0.15000   0.00000
   0.11667   0.25000   0.40000   0.15833   0.28333   0.40000
   0.19500   0.43000   0.67500   0.31250   0.55000   0.74375
   0.20000   0.39625   0.54167   0.21000   0.36250   0.47500
   0.23810   0.46357   0.63429   0.33333   0.55333   0.70375
   0.23214   0.43348   0.57964   0.21429   0.38333   0.52500
   0.25694   0.48214   0.64921   0.34375   0.57946   0.73616
   0.29167   0.54271   0.72131   0.43056   0.68403   0.82946
   0.32682   0.59758   0.77811   0.48500   0.74389   0.87750
   0.34848   0.62011   0.78742   0.45682   0.68773   0.80606
   0.36026   0.62640   0.78294   0.42500   0.64735   0.77284
   0.35797   0.60907   0.75052   0.34423   0.54551   0.66949
   0.34167   0.56670   0.68777   0.23571   0.39725   0.51518
   0.33125   0.54121   0.65430   0.25833   0.43071   0.55390
   0.31581   0.50621   0.60631   0.20000   0.34292   0.45036
   0.33039   0.53631   0.65290   0.44706   0.68676   0.81596
   0.34181   0.55800   0.68459   0.43889   0.67369   0.80343
   0.35487   0.58068   0.71382   0.47237   0.70921   0.83075
   0.33976   0.54649   0.66430   0.19625   0.34132   0.45384
   0.35108   0.56769   0.69397   0.46429   0.70202   0.82750
   0.34121   0.54560   0.66276   0.23750   0.39827   0.51451
   0.35063   0.56303   0.68665   0.45435   0.68508   0.80608
   0.34850   0.55751   0.67918   0.32396   0.51703   0.63993
   0.35438   0.56821   0.69413   0.42500   0.65025   0.77637
   0.35684   0.57220   0.69986   0.38750   0.60408   0.73280
   0.36336   0.58371   0.71499   0.44815   0.67963   0.80576
   0.36644   0.58830   0.72055   0.40804   0.62811   0.75530
   0.35046   0.55140   0.66372   0.12672   0.21933   0.29435
   0.35495   0.56070   0.67841   0.42000   0.64741   0.77753
   0.35519   0.56132   0.68065   0.35887   0.56737   0.69638
   0.36132   0.57321   0.69749   0.45625   0.69209   0.81959
   0.36644   0.58187   0.70824   0.44848   0.67140   0.78880
   0.37328   0.59368   0.72301   0.48603   0.71965   0.83754
   0.37813   0.60127   0.73182   0.46071   0.68471   0.80230
   0.36730   0.57728   0.69650   0.17778   0.30544   0.40511
   0.36227   0.56688   0.68270   0.27162   0.44557   0.56536
   0.36269   0.56772   0.68489   0.37039   0.57770   0.70403
   0.36074   0.56368   0.67988   0.32372   0.51393   0.63485
   0.36524   0.57209   0.69140   0.45312   0.67859   0.79797
   0.37064   0.58217   0.70507   0.47866   0.71326   0.83493
   0.37492   0.58989   0.71536   0.46250   0.69280   0.81563
   0.37075   0.58118   0.70340   0.28314   0.46213   0.58382
   0.37437   0.58794   0.71263   0.45227   0.68256   0.80727
   0.37430   0.58751   0.71228   0.37278   0.58131   0.70854
   0.37567   0.58975   0.71525   0.40652   0.62263   0.74722
   0.37974   0.59690   0.72434   0.47340   0.70419   0.82429
   0.38172   0.60012   0.72838   0.42812   0.64940   0.77389
   0.38584   0.60690   0.73639   0.48469   0.71322   0.82850
   0.38453   0.60374   0.73179   0.35250   0.55308   0.67773
   0.38739   0.60868   0.73807   0.45882   0.68949   0.81344
   0.39019   0.61328   0.74363   0.46154   0.68988   0.81173
   0.39389   0.61905   0.75006   0.49009   0.71714   0.83036
   0.39779   0.62517   0.75693   0.50139   0.73122   0.84460
   0.39281   0.61434   0.74116   0.25818   0.42301   0.53611
   0.38933   0.60694   0.73079   0.29375   0.47381   0.59340
   0.39204   0.61168   0.73693   0.46798   0.69846   0.81986
   0.39204   0.61086   0.73523   0.39181   0.59560   0.71179
   0.38846   0.60303   0.72391   0.28475   0.45430   0.56540
   0.39172   0.60869   0.73115   0.48792   0.71805   0.83441
   0.38886   0.60274   0.72309   0.30287   0.48572   0.60616
   0.39178   0.60795   0.72995   0.48105   0.71218   0.83123
   0.38705   0.59814   0.71615   0.24048   0.39860   0.50902
   0.38424   0.59253   0.70883   0.29570   0.47677   0.59726
   0.38794   0.59942   0.71809   0.50615   0.74407   0.86163
   0.38547   0.59447   0.71159   0.30530   0.48881   0.60915
   0.38424   0.59201   0.70856   0.34366   0.53874   0.66019
   0.37948   0.58195   0.69427   0.21985   0.36061   0.46193
   0.37283   0.56788   0.67381   0.14674   0.25363   0.33635
   0.37263   0.56808   0.67525   0.36571   0.57268   0.69934
   0.37131   0.56617   0.67380   0.32535   0.52218   0.64917
   0.37085   0.56585   0.67440   0.35451   0.55848   0.68468
   0.37011   0.56516   0.67461   0.34349   0.54865   0.67834
   0.36976   0.56503   0.67536   0.35676   0.56201   0.68860
   0.37175   0.56924   0.68157   0.44533   0.67165   0.79346
   0.37400   0.57394   0.68839   0.45855   0.68985   0.81271
   0.37601   0.57798   0.69405   0.45227   0.67896   0.79886
   0.37825   0.58247   0.70035   0.46442   0.69625   0.81854
   0.38016   0.58617   0.70541   0.45475   0.68115   0.80146
   0.38026   0.58648   0.70609   0.38438   0.59442   0.71913
   0.37823   0.58217   0.69991   0.29691   0.46890   0.57952
   0.37589   0.57784   0.69449   0.28110   0.46229   0.58734
   0.37323   0.57237   0.68682   0.26416   0.42464   0.53355
   0.37291   0.57228   0.68749   0.35982   0.56971   0.70106
   0.37207   0.57127   0.68699   0.33676   0.54359   0.67667
   0.37048   0.56811   0.68270   0.30291   0.47936   0.59362
   0.37224   0.57166   0.68764   0.44770   0.67243   0.79152
   0.37442   0.57605   0.69373   0.46932   0.70178   0.82306
   0.37689   0.58087   0.70023   0.48567   0.72085   0.84001
   0.37212   0.57054   0.68477   0.16000   0.26738   0.34840
   0.37374   0.57394   0.68974   0.44643   0.67476   0.79905
   0.37510   0.57664   0.69347   0.43696   0.65757   0.77667
   0.37541   0.57737   0.69471   0.38952   0.59967   0.72243
   0.37379   0.57463   0.69157   0.29867   0.49052   0.62013
   0.37292   0.57324   0.69020   0.33211   0.53030   0.65871
   0.37218   0.57236   0.68970   0.33698   0.54473   0.67825
   0.37321   0.57454   0.69288   0.42268   0.64358   0.76745
   0.37548   0.57904   0.69901   0.48546   0.72302   0.84471
   0.37707   0.58220   0.70336   0.45480   0.68447   0.80771
   0.37888   0.58580   0.70829   0.46875   0.70341   0.82772
   0.38044   0.58863   0.71182   0.45817   0.68183   0.79835
   0.38053   0.58892   0.71237   0.38529   0.59849   0.72595
   0.38216   0.59196   0.71632   0.46505   0.69440   0.81503
   0.38315   0.59385   0.71879   0.43462   0.65808   0.78140
   0.38470   0.59671   0.72250   0.46524   0.69515   0.81693
   0.38501   0.59729   0.72329   0.40094   0.61720   0.74368
   0.38692   0.60076   0.72763   0.48855   0.72220   0.84045
   0.38740   0.60155   0.72856   0.41296   0.62935   0.75289
   0.38875   0.60389   0.73139   0.46147   0.68749   0.80662
   0.39029   0.60660   0.73471   0.47455   0.70417   0.82347
   0.39213   0.60981   0.73863   0.49279   0.72648   0.84445
   0.39077   0.60694   0.73453   0.31540   0.50187   0.62281
   0.39127   0.60768   0.73529   0.41925   0.63470   0.75611
   0.39066   0.60647   0.73365   0.35614   0.56130   0.68805
   0.39151   0.60784   0.73515   0.44043   0.65950   0.77734
   0.39013   0.60487   0.73086   0.31078   0.49199   0.60966
   0.39143   0.60715   0.73370   0.46645   0.69482   0.81453
   0.38902   0.60207   0.72628   0.24831   0.40560   0.51290
   0.38985   0.60355   0.72817   0.43866   0.66108   0.78316
   0.38833   0.60042   0.72375   0.29812   0.47750   0.59437
