"","a","b","c","content","serial","module","panel","stage"
"7",0.28227,-2.26857,0.26074,1,7,1,1,1
"10",0.50991,-1.44914,0.14694,2,10,1,1,1
"99",0.63901,-0.53989,0.19376,3,99,1,1,1
"101",0.83206,-0.07859,0.17202,1,101,1,1,1
"129",1.38875,0.47849,0.11522,2,129,1,1,1
"147",1.27402,0.34729,0.10004,1,147,1,1,1
"156",1.0886,0.75784,0.127,2,156,1,1,1
"187",1.05615,0.77543,0.10983,1,187,1,1,1
"256",1.93513,1.83794,0.18836,2,256,1,1,1
"278",1.24214,1.79488,0.20648,3,278,1,1,1
"2",0.36385,-3.33036,0.1767,1,2,2,1,1
"3",0.36893,-2.93842,0.18308,1,3,2,1,1
"5",0.35074,-2.66541,0.2052,1,5,2,1,1
"60",0.44338,-0.94449,0.09175,3,60,2,1,1
"145",1.47703,0.32935,0.12674,1,145,2,1,1
"152",1.31899,0.70483,0.11459,2,152,2,1,1
"239",1.66544,0.7285,0.0981,3,239,2,1,1
"272",1.608,2.01146,0.09196,2,272,2,1,1
"273",1.5695,2.02583,0.15193,2,273,2,1,1
"291",0.93878,2.26758,0.25055,2,291,2,1,1
"1",0.28212,-3.4292,0.188,1,1,3,1,1
"4",0.46429,-2.74341,0.20093,1,4,3,1,1
"75",0.75679,0.06256,0.13823,2,75,3,1,1
"130",1.46518,0.49739,0.16306,2,130,3,1,1
"154",1.73185,0.73005,0.14341,2,154,3,1,1
"197",1.25325,0.23521,0.21215,3,197,3,1,1
"257",1.22339,1.02213,0.10194,3,257,3,1,1
"283",1.14926,1.99497,0.11357,1,283,3,1,1
"287",1.59193,2.30401,0.10469,1,287,3,1,1
"293",1.20642,2.37519,0.14645,2,293,3,1,1
"91",1.19155,0.11524,0.25589,2,91,4,1,1
"115",1.11062,0.37674,0.20046,2,115,4,1,1
"150",1.269,0.6906,0.09007,2,150,4,1,1
"217",1.56915,0.48487,0.2063,3,217,4,1,1
"238",1.05853,0.71218,0.21766,3,238,4,1,1
"281",0.97787,1.79151,0.22901,1,281,4,1,1
"282",0.90689,1.9717,0.08154,1,282,4,1,1
"284",1.80468,2.01305,0.18574,1,284,4,1,1
"285",0.88323,2.23953,0.07006,1,285,4,1,1
"289",1.20437,2.24437,0.16068,2,289,4,1,1
"17",0.51477,-1.84796,0.13564,3,17,5,1,1
"26",0.51357,-1.48062,0.17331,1,26,5,1,1
"46",0.57169,-0.73814,0.22675,1,46,5,1,1
"119",0.66978,-0.42208,0.15858,3,119,5,1,1
"155",1.18534,0.73779,0.15533,2,155,5,1,1
"171",0.71321,0.79345,0.23398,2,171,5,1,1
"174",1.54012,0.88356,0.2663,2,174,5,1,1
"183",1.17927,0.70579,0.35243,1,183,5,1,1
"195",0.83668,1.1658,0.13975,2,195,5,1,1
"203",1.10438,0.86576,0.23899,1,203,5,1,1
"6",0.37622,-2.50664,0.2354,1,6,6,1,1
"48",0.46165,-0.68048,0.21056,1,48,6,1,1
"98",0.8442,-0.5534,0.27218,3,98,6,1,1
"189",1.16142,1.02491,0.05526,2,189,6,1,1
"201",1.3784,0.8036,0.19098,1,201,6,1,1
"209",1.3246,1.26985,0.25744,2,209,6,1,1
"213",1.02427,1.33306,0.23151,2,213,6,1,1
"237",1.07091,0.7,0.16372,3,237,6,1,1
"248",1.08781,1.40442,0.28071,1,248,6,1,1
"276",0.71858,2.15778,0.1412,2,276,6,1,1
"9",0.55474,-1.44975,0.34075,2,9,7,1,1
"18",0.83657,-1.45579,0.1715,3,18,7,1,1
"21",0.5117,-1.81496,0.16376,1,21,7,1,1
"50",0.47284,-0.21862,0.28663,2,50,7,1,1
"108",0.62533,0.01329,0.5,1,108,7,1,1
"166",0.85246,0.55829,0.30867,1,166,7,1,1
"172",1.00382,0.82144,0.10494,2,172,7,1,1
"173",1.4342,0.84885,0.11995,2,173,7,1,1
"222",1.22973,1.05722,0.26348,1,222,7,1,1
"240",1.17548,0.81871,0.07185,3,240,7,1,1
"16",1.05559,-0.90949,0.5,2,16,8,1,1
"31",0.80136,-0.76802,0.34693,2,31,8,1,1
"35",0.76685,-0.3716,0.202,2,35,8,1,1
"47",0.78424,-0.69231,0.26217,1,47,8,1,1
"64",1.02068,-0.49628,0.25138,1,64,8,1,1
"65",1.07983,-0.46626,0.17154,1,65,8,1,1
"69",1.23326,-0.10127,0.10312,2,69,8,1,1
"78",1.08948,-0.71943,0.17009,3,78,8,1,1
"79",0.85969,-0.68603,0.08217,3,79,8,1,1
"103",0.93621,-0.05029,0.14846,1,103,8,1,1
"36",0.70538,-0.29667,0.11547,2,36,9,1,1
"68",0.74871,-0.3736,0.19772,1,68,9,1,1
"70",0.8034,-0.09937,0.0924,2,70,9,1,1
"85",1.091,-0.19352,0.17694,1,85,9,1,1
"90",1.0046,0.1092,0.08802,2,90,9,1,1
"95",0.74188,0.23092,0.08413,2,95,9,1,1
"97",1.04963,-0.60418,0.09479,3,97,9,1,1
"104",0.91703,-0.03528,0.17517,1,104,9,1,1
"117",1.35127,-0.47087,0.09622,3,117,9,1,1
"123",1.12392,0.08478,0.09302,1,123,9,1,1
"51",0.93593,-0.20202,0.17977,2,51,10,1,1
"54",1.30463,-0.16596,0.15073,2,54,10,1,1
"61",0.85165,-0.60429,0.33388,1,61,10,1,1
"87",0.86811,-0.12321,0.18031,1,87,10,1,1
"89",1.21852,0.10318,0.05654,2,89,10,1,1
"93",1.13838,0.20749,0.17817,2,93,10,1,1
"100",1.05442,-0.50597,0.08432,3,100,10,1,1
"106",0.9491,-0.01374,0.06349,1,106,10,1,1
"120",0.97426,-0.40939,0.05283,3,120,10,1,1
"126",0.8525,0.11091,0.08883,1,126,10,1,1
"22",0.48935,-1.78184,0.18681,1,22,11,1,1
"39",0.6157,-1.24491,0.09633,3,39,11,1,1
"77",0.7632,-0.82894,0.19896,3,77,11,1,1
"109",0.65367,0.30637,0.5,2,109,11,1,1
