a b c content serial module panel stage
2 0.36385 -3.33036 0.1767 1 2 1 1 1
3 0.36893 -2.93842 0.18308 1 3 1 1 1
55 0.75222 -0.16255 0.27858 2 55 1 1 1
58 0.91004 -1.12367 0.13877 3 58 1 1 1
68 0.74871 -0.3736 0.19772 1 68 1 1 1
94 0.95026 0.22868 0.15552 2 94 1 1 1
116 0.61269 0.44052 0.10758 2 116 1 1 1
129 1.38875 0.47849 0.11522 2 129 1 1 1
145 1.47703 0.32935 0.12674 1 145 1 1 1
159 0.81181 0.02365 0.18466 3 159 1 1 1
143 0.72184 0.28359 0.08711 1 143 2 1 1
154 1.73185 0.73005 0.14341 2 154 2 1 1
157 0.75207 -0.03358 0.14237 3 157 2 1 1
163 1.05138 0.51094 0.07302 1 163 2 1 1
168 1.35539 0.59898 0.27613 1 168 2 1 1
171 0.71321 0.79345 0.23398 2 171 2 1 1
223 0.75578 1.08622 0.30707 1 223 2 1 1
240 1.17548 0.81871 0.07185 3 240 2 1 1
273 1.5695 2.02583 0.15193 2 273 2 1 1
291 0.93878 2.26758 0.25055 2 291 2 1 1
71 0.85096 -0.09029 0.26784 2 71 3 1 1
91 1.19155 0.11524 0.25589 2 91 3 1 1
98 0.8442 -0.5534 0.27218 3 98 3 1 1
105 0.89732 -0.03003 0.21412 1 105 3 1 1
111 0.89208 0.32987 0.14618 2 111 3 1 1
115 1.11062 0.37674 0.20046 2 115 3 1 1
124 1.04105 0.08671 0.16097 1 124 3 1 1
137 0.71958 -0.34696 0.06723 3 137 3 1 1
167 0.78154 0.57756 0.18445 1 167 3 1 1
181 0.91332 0.6779 0.14975 1 181 3 1 1
1 0.28212 -3.4292 0.188 1 1 4 1 1
5 0.35074 -2.66541 0.2052 1 5 4 1 1
75 0.75679 0.06256 0.13823 2 75 4 1 1
92 1.17228 0.13248 0.18882 2 92 4 1 1
121 1.41811 0.06245 0.14843 1 121 4 1 1
136 1.05444 0.60125 0.16527 2 136 4 1 1
158 1.20666 -0.03132 0.16188 3 158 4 1 1
200 1.08426 0.40513 0.12455 3 200 4 1 1
242 1.00433 1.29001 0.20413 1 242 4 1 1
272 1.608 2.01146 0.09196 2 272 4 1 1
4 0.46429 -2.74341 0.20093 1 4 5 1 1
7 0.28227 -2.26857 0.26074 1 7 5 1 1
80 0.65346 -0.62802 0.17127 3 80 5 1 1
93 1.13838 0.20749 0.17817 2 93 5 1 1
110 1.32618 0.31777 0.08593 2 110 5 1 1
152 1.31899 0.70483 0.11459 2 152 5 1 1
178 1.51543 0.12667 0.18331 3 178 5 1 1
262 0.77834 1.44274 0.09122 1 262 5 1 1
270 1.38278 1.96672 0.2976 2 270 5 1 1
284 1.80468 2.01305 0.18574 1 284 5 1 1
6 0.37622 -2.50664 0.2354 1 6 6 1 1
101 0.83206 -0.07859 0.17202 1 101 6 1 1
122 0.8646 0.07006 0.20903 1 122 6 1 1
127 0.99128 0.15425 0.12452 1 127 6 1 1
130 1.46518 0.49739 0.16306 2 130 6 1 1
133 0.94247 0.52405 0.19019 2 133 6 1 1
153 1.16655 0.72347 0.08417 2 153 6 1 1
160 1.12345 0.05971 0.19227 3 160 6 1 1
289 1.20437 2.24437 0.16068 2 289 6 1 1
298 1.14405 1.98778 0.25225 3 298 6 1 1
95 0.74188 0.23092 0.08413 2 95 7 1 1
96 0.95411 0.2691 0.34229 2 96 7 1 1
107 0.72185 0.00125 0.09602 1 107 7 1 1
113 0.74105 0.36816 0.1887 2 113 7 1 1
128 0.94186 0.16016 0.14885 1 128 7 1 1
149 0.93253 0.68271 0.14128 2 149 7 1 1
180 0.7895 0.16883 0.04702 3 180 7 1 1
197 1.25325 0.23521 0.21215 3 197 7 1 1
201 1.3784 0.8036 0.19098 1 201 7 1 1
224 0.91941 1.10743 0.30241 1 224 7 1 1
67 0.79089 -0.37825 0.28961 1 67 8 1 1
132 0.82096 0.51316 0.13109 2 132 8 1 1
147 1.27402 0.34729 0.10004 1 147 8 1 1
155 1.18534 0.73779 0.15533 2 155 8 1 1
169 0.92648 0.77724 0.13964 2 169 8 1 1
205 0.70849 0.91832 0.08652 1 205 8 1 1
217 1.56915 0.48487 0.2063 3 217 8 1 1
283 1.14926 1.99497 0.11357 1 283 8 1 1
293 1.20642 2.37519 0.14645 2 293 8 1 1
299 0.78131 2.07047 0.09394 3 299 8 1 1
36 0.70538 -0.29667 0.11547 2 36 9 1 1
83 0.6802 -0.24366 0.18296 1 83 9 1 1
125 0.89984 0.10393 0.13245 1 125 9 1 1
