a b c content serial module panel stage
145 1.47703 0.32935 0.12674 1 145 1 1 1
217 1.56915 0.48487 0.2063 3 217 1 1 1
253 2.19054 1.70257 0.21894 2 253 1 1 1
271 2.05814 1.99655 0.18825 2 271 1 1 1
284 1.80468 2.01305 0.18574 1 284 1 1 1
1 0.28212 -3.4292 0.188 1 1 2 1 1
129 1.38875 0.47849 0.11522 2 129 2 1 1
135 1.08761 0.56218 0.27451 2 135 2 1 1
185 0.63595 0.73997 0.31749 1 185 2 1 1
197 1.25325 0.23521 0.21215 3 197 2 1 1
2 0.36385 -3.33036 0.1767 1 2 3 1 1
110 1.32618 0.31777 0.08593 2 110 3 1 1
125 0.89984 0.10393 0.13245 1 125 3 1 1
255 1.00627 1.81689 0.18622 2 255 3 1 1
297 1.08885 1.89334 0.18232 3 297 3 1 1
88 1.00126 -0.10199 0.40648 1 88 4 1 1
134 0.90976 0.55405 0.27422 2 134 4 1 1
147 1.27402 0.34729 0.10004 1 147 4 1 1
234 1.2538 1.51119 0.24526 2 234 4 1 1
300 1.23619 2.08179 0.11321 3 300 4 1 1
188 0.94775 0.7774 0.21869 1 188 5 1 1
195 0.83668 1.1658 0.13975 2 195 5 1 1
215 0.73875 1.36371 0.23305 2 215 5 1 1
239 1.66544 0.7285 0.0981 3 239 5 1 1
285 0.88323 2.23953 0.07006 1 285 5 1 1
121 1.41811 0.06245 0.14843 1 121 6 1 1
130 1.46518 0.49739 0.16306 2 130 6 1 1
248 1.08781 1.40442 0.28071 1 248 6 1 1
280 0.7599 1.82824 0.09075 3 280 6 1 1
289 1.20437 2.24437 0.16068 2 289 6 1 1
7 0.28227 -2.26857 0.26074 1 7 7 1 1
80 0.65346 -0.62802 0.17127 3 80 7 1 1
132 0.82096 0.51316 0.13109 2 132 7 1 1
144 0.52688 0.29777 0.1472 1 144 7 1 1
154 1.73185 0.73005 0.14341 2 154 7 1 1
17 0.51477 -1.84796 0.13564 3 17 8 1 1
21 0.5117 -1.81496 0.16376 1 21 8 1 1
48 0.46165 -0.68048 0.21056 1 48 8 1 1
50 0.47284 -0.21862 0.28663 2 50 8 1 1
