a b c content serial
1 0.74207 2.576 0.13225 1 288
2 1.59193 2.30401 0.10469 1 287
3 0.70531 2.2619 0.15478 1 286
4 0.88323 2.23953 0.07006 1 285
5 0.9238 2.92677 0.22862 2 296
6 0.6464 2.66381 0.39275 2 295
7 0.37037 2.56859 0.14548 2 294
8 1.20642 2.37519 0.14645 2 293
9 1.23619 2.08179 0.11321 3 300
10 0.78131 2.07047 0.09394 3 299
11 1.80468 2.01305 0.18574 1 284
12 1.14926 1.99497 0.11357 1 283
13 0.90689 1.9717 0.08154 1 282
14 0.97787 1.79151 0.22901 1 281
15 0.90249 2.30378 0.1471 2 292
16 0.93878 2.26758 0.25055 2 291
17 1.62764 2.26527 0.08149 2 290
18 1.20437 2.24437 0.16068 2 289
19 1.14405 1.98778 0.25225 3 298
20 1.08885 1.89334 0.18232 3 297
21 1.34917 1.6974 0.13229 1 268
22 1.07821 1.68906 0.23733 1 267
23 0.94871 1.6028 0.16098 1 266
24 1.16434 1.54005 0.23937 1 265
25 0.71858 2.15778 0.1412 2 276
26 0.96093 2.13658 0.17003 2 275
27 0.8274 2.05123 0.13169 2 274
28 1.5695 2.02583 0.15193 2 273
29 0.7599 1.82824 0.09075 3 280
30 0.86838 1.79655 0.1688 3 279
31 0.89657 1.49338 0.19509 1 264
32 1.01546 1.4578 0.08892 1 263
33 0.77834 1.44274 0.09122 1 262
34 0.93885 1.41013 0.08369 1 261
35 1.608 2.01146 0.09196 2 272
36 2.05814 1.99655 0.18825 2 271
37 1.38278 1.96672 0.2976 2 270
38 1.16738 1.93815 0.10698 2 269
39 1.24214 1.79488 0.20648 3 278
40 1.09366 1.23839 0.25795 3 277
41 1.08781 1.40442 0.28071 1 248
42 0.85019 1.38074 0.08722 1 247
43 0.98444 1.37395 0.17914 1 246
44 1.30404 1.37048 0.07061 1 245
45 1.93513 1.83794 0.18836 2 256
46 1.00627 1.81689 0.18622 2 255
47 0.88245 1.75496 0.1944 2 254
48 2.19054 1.70257 0.21894 2 253
49 1.25655 1.14811 0.24037 3 260
50 0.84825 1.11944 0.16906 3 259
51 1.11079 1.30293 0.24064 1 244
52 1.09077 1.29115 0.14429 1 243
53 1.00433 1.29001 0.20413 1 242
54 0.92247 1.26716 0.10077 1 241
55 1.25602 1.68444 0.15788 2 252
56 1.34538 1.57022 0.15129 2 251
57 1.10122 1.56418 0.09575 2 250
58 0.81933 1.54567 0.30536 2 249
59 0.95634 1.10508 0.13913 3 258
60 1.22339 1.02213 0.10194 3 257
61 0.70108 1.23634 0.1818 1 228
62 1.23978 1.19639 0.16853 1 227
63 0.50389 1.17222 0.15992 1 226
64 0.7784 1.15269 0.25227 1 225
65 1.49179 1.52422 0.18658 2 236
66 1.28983 1.52127 0.14887 2 235
67 1.2538 1.51119 0.24526 2 234
68 1.4842 1.48036 0.16499 2 233
69 1.17548 0.81871 0.07185 3 240
70 1.66544 0.7285 0.0981 3 239
71 0.91941 1.10743 0.30241 1 224
72 0.75578 1.08622 0.30707 1 223
73 1.22973 1.05722 0.26348 1 222
74 0.74217 1.03455 0.48883 1 221
75 0.92473 1.44495 0.14829 2 232
76 1.28432 1.43018 0.09536 2 231
77 1.3552 1.38621 0.26964 2 230
78 1.41126 1.3741 0.13428 2 229
79 1.05853 0.71218 0.21766 3 238
80 1.07091 0.7 0.16372 3 237
81 0.92049 0.94775 0.23537 1 208
82 0.968 0.93463 0.29013 1 207
83 0.41108 0.92304 0.1534 1 206
84 0.70849 0.91832 0.08652 1 205
85 0.63325 1.36473 0.05896 2 216
86 0.73875 1.36371 0.23305 2 215
87 1.4777 1.34767 0.09881 2 214
88 1.02427 1.33306 0.23151 2 213
89 0.81006 0.61925 0.30838 3 220
90 1.11723 0.57372 0.23913 3 219
91 0.76297 0.878 0.13084 1 204
92 1.10438 0.86576 0.23899 1 203
93 1.0169 0.83638 0.37559 1 202
94 1.3784 0.8036 0.19098 1 201
95 0.5994 1.2851 0.34499 2 212
96 0.74364 1.28452 0.08485 2 211
97 1.2324 1.28199 0.28949 2 210
98 1.3246 1.26985 0.25744 2 209
99 0.90061 0.52271 0.26448 3 218
100 1.56915 0.48487 0.2063 3 217
101 0.94775 0.7774 0.21869 1 188
102 1.05615 0.77543 0.10983 1 187
103 0.85226 0.75467 0.13435 1 186
104 0.63595 0.73997 0.31749 1 185
105 1.43289 1.19057 0.28078 2 196
106 0.83668 1.1658 0.13975 2 195
107 1.10354 1.10563 0.21571 2 194
108 0.96237 1.0887 0.2303 2 193
109 1.08426 0.40513 0.12455 3 200
110 0.855 0.40163 0.41689 3 199
111 0.83239 0.70586 0.03472 1 184
112 1.17927 0.70579 0.35243 1 183
113 0.90487 0.68147 0.19902 1 182
114 0.91332 0.6779 0.14975 1 181
115 0.80912 1.03894 0.29215 2 192
116 1.03949 1.03144 0.30238 2 191
117 0.8012 1.03055 0.15447 2 190
118 1.16142 1.02491 0.05526 2 189
119 0.76827 0.39634 0.3143 3 198
120 1.25325 0.23521 0.21215 3 197
121 1.35539 0.59898 0.27613 1 168
122 0.78154 0.57756 0.18445 1 167
123 0.85246 0.55829 0.30867 1 166
124 0.78022 0.54647 0.27643 1 165
125 0.53847 0.96234 0.13939 2 176
126 0.75085 0.94963 0.19069 2 175
127 1.54012 0.88356 0.2663 2 174
128 1.4342 0.84885 0.11995 2 173
129 0.7895 0.16883 0.04702 3 180
130 1.16382 0.1503 0.34191 3 179
131 0.74134 0.51626 0.21251 1 164
132 1.05138 0.51094 0.07302 1 163
133 1.15175 0.4965 0.09064 1 162
134 0.80824 0.47071 0.07509 1 161
135 1.00382 0.82144 0.10494 2 172
136 0.71321 0.79345 0.23398 2 171
137 1.00373 0.78973 0.17344 2 170
138 0.92648 0.77724 0.13964 2 169
139 1.51543 0.12667 0.18331 3 178
140 0.98843 0.07261 0.11335 3 177
141 0.82244 0.35952 0.19388 1 148
142 1.27402 0.34729 0.10004 1 147
143 1.01454 0.33055 0.23742 1 146
144 1.47703 0.32935 0.12674 1 145
145 1.0886 0.75784 0.127 2 156
146 1.18534 0.73779 0.15533 2 155
147 1.73185 0.73005 0.14341 2 154
148 1.16655 0.72347 0.08417 2 153
149 1.12345 0.05971 0.19227 3 160
